artist_id,artist_genres,artist_popularity
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",89
7Ln80lUS6He07XvHI8qqHH,"garage rock, modern rock, permanent wave, rock, sheffield indie",84
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",89
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",89
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",89
74XFHRwlV6OrjEM0A2NCMF,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",75
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",89
5Y5TRrQiqgUO4S36tzjIRZ,"dance pop, pop, pop rap",75
4UXqAaa6dQYAk18Lv7PEgX,"emo, modern rock, pop, rock",77
0niJkG4tKkne3zwr7I8n9n,"alternative metal, canadian rock, funk metal, nu metal, post-grunge",58
46gyXjRIvN1NL1eCB8GBxo,"modern rock, neon pop punk, pop emo, pop punk",67
3aQeKQSyrW4qWr35idm0cy,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",74
6B5c4sch27tWHAGdarpPaW,"alternative metal, nu metal, post-grunge, south african rock",66
5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop, pop, urban contemporary",87
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",89
0SwO7SWeDHJijQ3XNS7xEE,"alternative rock, indie rock, indietronica, modern rock, rock",70
6XyY86QOPPrYVGvF9ch6wz,"alternative metal, nu metal, post-grunge, rap metal, rock",82
0QJIPDAEDILuo8AIq3pMuU,"escape room, indietronica, neo-synthpop, new rave",65
6S0dmVVn4udvppDhZIWxCr,"dance pop, miami hip hop, pop",67
1Xfmvd48oOhEWkscWyEbh9,"hip pop, r&b, southern hip hop, trap, urban contemporary",63
26dSoYclwsYLMAKD3tpOr4,"dance pop, pop",78
7Ln80lUS6He07XvHI8qqHH,"garage rock, modern rock, permanent wave, rock, sheffield indie",84
6GMYJwaziB4ekv1Y6wCDWS,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap",66
6XyY86QOPPrYVGvF9ch6wz,"alternative metal, nu metal, post-grunge, rap metal, rock",82
