song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
0JXXNGljqupsJaZsgSbMZV,81.001,audio_features,-8.127,0,0.1,0.191,0.498,0.684,0.607,0.0267,0.000307
1eUGmzzvahJjOSWgDHuRlv,113.451,audio_features,-11.314,0,0.0296,0.168,0.127,0.372,0.239,0.856,0.000175
3DK6m7It6Pw857FcQftMds,84.733,audio_features,-3.825,0,0.109,0.513,0.111,0.374,0.568,0.219,0.00219
7BqBn9nzAq8spo5e7cZ0dJ,109.021,audio_features,-5.379,1,0.0422,0.0622,0.424,0.635,0.841,0.0134,0.0
7FAFkQQZFeNwOFzTrSDFIh,127.006,audio_features,-3.894,0,0.0377,0.0785,0.55,0.794,0.766,0.0135,0.0
03tqyYWC9Um2ZqU0ZN849H,131.497,audio_features,-6.366,1,0.0391,0.241,0.361,0.76,0.595,0.00544,0.0
42qNWdLKCI41S4uzfamhFM,93.206,audio_features,-9.414,0,0.0349,0.0936,0.706,0.583,0.888,0.191,4.58e-05
1UGD3lW3tDmgZfAVDh6w7r,80.082,audio_features,-4.935,0,0.0721,0.158,0.206,0.435,0.76,0.0175,0.0
161DnLWsx1i3u1JT05lzqU,145.867,audio_features,-4.721,0,0.032,0.107,0.0784,0.498,0.59,0.511,0.0
3avYqdwHKEq8beXbeWCKqJ,126.023,audio_features,-3.797,0,0.0409,0.667,0.72,0.652,0.812,0.00125,3.01e-05
3hlksXnvbKogFdPbpO9vel,126.979,audio_features,-4.357,1,0.203,0.598,0.667,0.723,0.86,0.271,4.56e-06
2tJulUYLDKOg9XrtVkMgcJ,110.444,audio_features,-7.273,0,0.0542,0.107,0.245,0.704,0.558,0.148,0.0
4HlFJV71xXKIGcU3kRyttv,97.012,audio_features,-4.44,0,0.0431,0.0826,0.795,0.673,0.886,0.185,0.0
0V5cvmTKsYmF5FmGGEAfmS,132.731,audio_features,-16.757,1,0.0356,0.101,0.213,0.303,0.187,0.989,0.489
