song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
68Dni7IE4VyPkTOH9mRWHr,100.028,audio_features,-8.492,0,0.339,0.0534,0.494,0.69,0.521,0.324,0.0
6dBUzqjtbnIa1TwYbyw5CM,104.97,audio_features,-5.338,0,0.0397,0.096,0.572,0.559,0.871,7.53e-06,0.00545
4tqcoej1zPvwePZCzuAjJd,175.627,audio_features,-8.108,0,0.357,0.113,0.539,0.495,0.722,0.0697,0.0
1p80LdxRV74UKvL8gnD7ky,96.006,audio_features,-5.421,1,0.0644,0.13,0.583,0.753,0.678,0.085,1.64e-06
4lIxdJw6W3Fg4vUIYCB0S5,95.019,audio_features,-5.572,1,0.0383,0.117,0.456,0.598,0.786,0.00253,0.0016
3JvrhDOgAt6p7K8mDyZwRd,101.654,audio_features,-6.694,1,0.0379,0.151,0.51,0.484,0.731,0.431,0.0
5TgEJ62DOzBpGxZ7WRsrqb,121.412,audio_features,-7.672,1,0.0608,0.112,0.259,0.531,0.363,0.749,0.0
4SqWKzw0CbA05TGszDgMlc,75.977,audio_features,-4.891,1,0.0358,0.115,0.466,0.575,0.648,0.583,0.0
1CS7Sd1u5tWkstBhpssyjP,128.945,audio_features,-5.303,0,0.0464,0.116,0.437,0.566,0.664,0.634,0.0
7H7NyZ3G075GqPx2evsfeb,131.03,audio_features,-8.678,1,0.0914,0.102,0.506,0.538,0.557,0.262,0.914
5xTtaWoae3wi06K5WfVUUH,160.015,audio_features,-5.414,1,0.165,0.148,0.943,0.647,0.785,0.0561,0.0
5Y6nVaayzitvsD5F7nr3DV,123.167,audio_features,-7.664,0,0.0396,0.0907,0.461,0.527,0.591,0.194,0.0194
4Fv6wNYUixnYkj3Dgfrls8,121.889,audio_features,-9.762,1,0.26,0.128,0.346,0.49,0.373,0.101,0.000105
2e3Ea0o24lReQFR4FA7yXH,82.81,audio_features,-8.631,1,0.333,0.193,0.435,0.677,0.638,0.589,0.0
4gbVRS8gloEluzf0GzDOFc,120.032,audio_features,-5.522,0,0.0303,0.059,0.879,0.742,0.713,0.0205,0.0
2LKOHdMsL0K9KwcPRlJK2v,140.037,audio_features,-10.444,1,0.0328,0.0837,0.039,0.585,0.595,0.0696,0.266
4rW9EUFaMSNVY8JhbqrB6z,110.014,audio_features,-3.426,1,0.0283,0.109,0.674,0.588,0.807,0.0835,0.0
1NZs6n6hl8UuMaX0UC0YTz,107.747,audio_features,-6.698,1,0.0407,0.11,0.0949,0.404,0.664,0.542,0.00402
4kbj5MwxO1bq9wjT5g9HaA,128.038,audio_features,-3.804,1,0.0619,0.257,0.619,0.578,0.866,0.00701,0.0
