artist_id,artist_genres,artist_popularity
4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77
7t0rwkOPGlDPEhaOcVtOt9,"irish rock, pop rock, rock",71
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78
5xUf6j4upBrXZPg6AI4MRK,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",64
2UazAtjfzqBF0Nho2awK4z,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",64
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70
5LfGQac0EIXyAN8aUwmNAQ,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",74
3vbKDsSS70ZX9D2OcvbZmS,"alternative rock, anti-folk, permanent wave, rock",63
4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77
78OAtwN3XpjMcjibnF2Kw5,"contemporary country, country, country road",53
03r4iKL2g2442PT9n2UKsx,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",66
2B4ZHz4QDWJTXPFPgO5peE,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap",60
47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",70
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74
1Mxqyy3pSjf8kZZL4QVxS0,"adult standards, easy listening, lounge",76
64tNsm6TnZe2zpcMVMOoHL,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",69
0TImkz4nPqjegtVSMZnMRq,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",66
0X380XXQSNBYuleKzav5UO,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",63
5LfGQac0EIXyAN8aUwmNAQ,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",74
08ct2eZF5lUPdJpHwNKWof,"heartland rock, pop rock, post-grunge",57
4TK1gDgb7QKoPFlzRrBRgR,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino",69
3nnQpaTvKb5jCQabZefACI,"melancholia, permanent wave, singer-songwriter",62
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78
5spEJXLwD1sKUdC2bnOHPg,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap",63
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70
4e5V1Q2dKCzbLVMQ8qbTn6,"alternative rock, grunge, pop rock, post-grunge, rock",57
20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",71
