artist_id,artist_genres,artist_popularity
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
31TPClRtHm23RisEBtV3X7,"dance pop, pop",78
0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock",80
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
7K78lVZ8XzkjfRSI7570FF,"latin pop, puerto rican pop",63
04gDigrS5kc9YWfZHwBETP,pop,82
2gBjLmx6zQnFGQJCAQpRgw,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",72
4gzpq5DPGxSnKTe4SA8HAU,"permanent wave, pop",85
3ciRvbBIVz9fBoPbtSYq4x,"atl hip hop, atlanta bass, crunk, dirty south rap, old school atlanta hip hop, southern hip hop",60
5rkVyNGXEgeUqKkB5ccK83,"dance pop, hip pop, r&b, urban contemporary",69
1UdQqCUR7RwB9YYJONwbdM,"alternative metal, nu metal, post-grunge",54
56dO9zeHKuU5Gvfc2kxHNw,"alternative metal, christian rock, nu metal, post-grunge",61
0p4nmQO2msCgU4IF37Wi3j,"canadian pop, candy pop, dance pop, pop",73
04gDigrS5kc9YWfZHwBETP,pop,82
5aYyPjAsLj7UzANzdupwnS,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge",62
2gBjLmx6zQnFGQJCAQpRgw,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",72
7guDJrEfX3qb6FEbdPA5qi,"motown, soul",73
4gzpq5DPGxSnKTe4SA8HAU,"permanent wave, pop",85
0p4nmQO2msCgU4IF37Wi3j,"canadian pop, candy pop, dance pop, pop",73
2ziB7fzrXBoh1HUPS6sVFn,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup",65
2RTUTCvo6onsAnheUk3aL9,"alternative metal, nu metal, post-grunge, rock",68
0urTpYCsixqZwgNTkPJOJ4,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",65
2RTUTCvo6onsAnheUk3aL9,"alternative metal, nu metal, post-grunge, rock",68
04gDigrS5kc9YWfZHwBETP,pop,82
2bA6fzP0lMAQ4kz6CF61w8,"classic oklahoma country, contemporary country, country, country road",66
5ILrArfIV0tMURcHJN8Q07,"lilith, neo mellow, piano rock, pop rock, post-teen pop",60
1qto4hHid1P71emI6Fd8xi,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",75
2Kx7MNY7cI1ENniW7vT30N,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz",70
31TPClRtHm23RisEBtV3X7,"dance pop, pop",78
4pejUc4iciQfgdX6OKulQn,"alternative metal, alternative rock, grunge, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock",68
6kACVPfCOnqzgfEF5ryl0x,"arkansas country, outlaw country, rock",71
0qT79UgT5tY4yudH9VfsdT,"alternative metal, canadian pop punk, canadian punk, modern rock, nu metal, pop punk, post-grunge, punk, rock",69
7jy3rLJdDQY21OgRLCZ9sD,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",75
2p4FqHnazRucYQHyDCdBrJ,"canadian pop punk, canadian punk, canadian rock, modern rock, neon pop punk, pop punk, pop rock",65
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
2bA6fzP0lMAQ4kz6CF61w8,"classic oklahoma country, contemporary country, country, country road",66
6B5c4sch27tWHAGdarpPaW,"alternative metal, nu metal, post-grunge, south african rock",66
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock",80
56dO9zeHKuU5Gvfc2kxHNw,"alternative metal, christian rock, nu metal, post-grunge",61
2wIVse2owClT7go1WT98tk,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",69
24XtlMhEMNdi822vi0MhY1,"emo, neon pop punk, pop punk, post-hardcore, screamo",60
2DnqqkzzDKm3vAoyHtn8So,"country, pop rock, post-grunge",57
3vAaWhdBR38Q02ohXqaNHT,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",64
0u2FHSq3ln94y5Q57xazwf,"australian country, australian pop, contemporary country, country, country road, modern country rock",66
0UWZUmn7sybxMCqrw9tGa7,"colombian pop, latin pop, mexican pop, rock en espanol",73
4jWGfUCFeTu5e0wprRhHXR,"crunk, dirty south rap, new orleans rap",49
2Kx7MNY7cI1ENniW7vT30N,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz",70
1mux8L6xg2Cmrc7k0wQczl,"colombian pop, latin alternative, latin pop, rock en espanol",66
2Q3eZMfDQgT8MhPowKFXYO,"dance pop, girl group",59
1AwO9pWEBSBoWdEZu28XDC,"torch song, vocal jazz",55
3YbOSxo85kla7RID8ugnW3,"grupera, musica mexicana, ranchera",74
2ziB7fzrXBoh1HUPS6sVFn,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup",65
