artist_id,artist_genres,artist_popularity
2h93pZq0e7k5yf4dywlkpM,"lgbtq+ hip hop, neo soul",82
73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop, hip hop, rap",76
6l3HvQ5sa6mXTsMTB19rO5,"conscious hip hop, hip hop, north carolina hip hop, rap",84
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",95
4V8LLVI7PbaPR0K2TGSxFF,"hip hop, rap",82
3nFkdlSjzX9mRTtwJOzDYB,"east coast hip hop, gangster rap, hip hop, pop rap, rap",81
4dpARuHxo51G3z768sgnrY,"british soul, pop, pop soul, uk pop",83
7gP3bB2nilZXLfPHJhMdvc,"indietronica, modern alternative rock, modern rock, rock",68
0BvkDsjIUla7X0k6CSWh1I,"contemporary country, country, country road, modern country rock",73
73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop, hip hop, rap",76
5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop, pop, urban contemporary",87
3kVUvbeRdcrqQ3oHk5hPdx,"indie rock, la indie, modern alternative rock, modern rock, pov: indie, stomp and holler",61
2AsusXITU8P25dlRNhcAbG,australian pop,65
4dpARuHxo51G3z768sgnrY,"british soul, pop, pop soul, uk pop",83
4dpARuHxo51G3z768sgnrY,"british soul, pop, pop soul, uk pop",83
2IvkS5MXK0vPGnwyJsrEyV,"contemporary country, country, country road, modern country rock",69
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",95
0hCNtLu0JehylgoiP8L4Gh,"hip pop, pop, queens hip hop, rap",84
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",95
0TnOYISbd1XYRBk9myaseg,"dance pop, miami hip hop, pop",80
2IvkS5MXK0vPGnwyJsrEyV,"contemporary country, country, country road, modern country rock",69
0du5cEVh5yTK9QJze8zA0C,"dance pop, pop",86
6lcwlkAjBPSKnFBZjjZFJs,"philly indie, pov: indie",72
55Aa2cqylxrFIXC767Z865,"hip hop, new orleans rap, pop rap, rap, trap",83
4IJczjB0fJ04gs4uvP0Fli,"dance pop, pop rap",66
7H55rcKCfwqkyDFH9wpKM6,pop,69
