song_id,song_name,song_duration,song_popularity,artist_id,album_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness,album_release_date,album_popularity,Year,artist_genres,artist_popularity
0QUSwslf0xbm4aDgpZfPn8,Alaba A Dios,310961,66,3e6e7N2fMD8rtk2PBVyMkm,3FMKKz5oAZCgXKQRpYr3Z4,140.053,audio_features,-6.981,1,0.0295,0.181,0.269,0.527,0.66,0.384,0.0,2001-01-01,62,2001,latin christian,55
4yot6gJqaEvD5A8bLUjbn2,El Rey Te Mandó Llamar,284238,65,3e6e7N2fMD8rtk2PBVyMkm,05HyX6gH8hKJ4fAji7XftG,139.903,audio_features,-8.322,1,0.0369,0.0793,0.252,0.557,0.544,0.236,0.0,2009-01-01,54,2009,latin christian,55
3q2aVABxuztNi3iS6h6qdB,Así Es la Vida,310146,73,5oYHL2SijkMY52gKIhYJNb,0fuY5UnmF59L4xKeRSZFbm,97.987,audio_features,-8.16,0,0.0899,0.146,0.631,0.799,0.664,0.134,0.0,2001-10-23,67,2001,"latin alternative, latin arena pop, latin pop, mexican pop, mexican rock, rock en espanol",65
2xezpH0r1pT7kcx2TPNsZ0,De la Noche a la Mañana,260613,71,5oYHL2SijkMY52gKIhYJNb,0fuY5UnmF59L4xKeRSZFbm,129.03,audio_features,-8.251,1,0.0287,0.0997,0.892,0.82,0.653,0.0528,3.5e-06,2001-10-23,67,2001,"latin alternative, latin arena pop, latin pop, mexican pop, mexican rock, rock en espanol",65
29OzJTIOTjCgR7fLyEXY7u,Sabor a Chocolate,231800,72,5oYHL2SijkMY52gKIhYJNb,5v3tEjfsPvLN3aDawSSx7h,136.648,audio_features,-4.233,0,0.0315,0.101,0.952,0.619,0.896,0.223,0.0,2002-08-30,65,2002,"latin alternative, latin arena pop, latin pop, mexican pop, mexican rock, rock en espanol",65
644es5aYPJghtZLjM1rmSP,Concerning Hobbits,175040,67,0OcclcP5o8VKH2TRqSY2A7,04rz93AqGy9JduzV3K81Dh,104.311,audio_features,-21.524,1,0.0342,0.133,0.175,0.488,0.0629,0.843,0.406,2001-11-19,65,2001,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack",64
3Knohqfb9jeYzL6wMZiWLM,"The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]",229106,63,0OcclcP5o8VKH2TRqSY2A7,04rz93AqGy9JduzV3K81Dh,83.933,audio_features,-20.031,1,0.0517,0.11,0.039,0.104,0.111,0.979,0.926,2001-11-19,65,2001,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack",64
1ykbtFnlIjmIFnZ8j6wg6i,"The Breaking of the Fellowship (feat. ""In Dreams"")",440800,61,0OcclcP5o8VKH2TRqSY2A7,04rz93AqGy9JduzV3K81Dh,78.577,audio_features,-20.553,1,0.0387,0.087,0.0465,0.131,0.137,0.934,0.485,2001-11-19,65,2001,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack",64
1TQKEwq4y9SkNciJuisE1m,Evenstar,195600,60,0OcclcP5o8VKH2TRqSY2A7,1zIoYLpYOq8d4HFzHJ7vc8,74.418,audio_features,-26.194,0,0.0457,0.104,0.0342,0.122,0.0407,0.96,0.847,2002-12-02,59,2002,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack",64
3h5IJ0EzVpkiaoL174GC3M,Let It Whip,287000,57,4n7L1vYXp4Dt0HfxaLBj9l,3wT0A6ZVGve1QkFKQrafJG,132.099,audio_features,-4.383,0,0.0411,0.0875,0.954,0.826,0.9,0.112,0.00136,2001-01-01,47,2001,"classic soul, disco, funk, motown, p funk, post-disco, quiet storm, soul",43
2h0iSG7htO0V4IvuwbTBf3,Entra en Mi Vida,248760,72,7xeM7V59cA1X8GKyKKQV87,7DIyUvlaJ0bsxLbenDLm73,138.006,audio_features,-8.116,1,0.0313,0.0939,0.31,0.678,0.372,0.599,0.0,2001-11-09,70,2001,"latin arena pop, latin pop, mexican pop",68
3WpUm0g3LnhZcdMDmaj3XM,Te Vi Venir,194706,72,7xeM7V59cA1X8GKyKKQV87,7DIyUvlaJ0bsxLbenDLm73,135.795,audio_features,-9.204,1,0.0349,0.102,0.46,0.625,0.315,0.862,0.0,2001-11-09,70,2001,"latin arena pop, latin pop, mexican pop",68
0AcFsf9FGjL1Al2RBQ1Crq,Kilómetros,221560,70,7xeM7V59cA1X8GKyKKQV87,7DIyUvlaJ0bsxLbenDLm73,129.975,audio_features,-8.17,1,0.0283,0.118,0.277,0.6,0.489,0.303,0.0,2001-11-09,70,2001,"latin arena pop, latin pop, mexican pop",68
62clthR0fZmLbxeqxVJatQ,Que Lloro,240613,77,7xeM7V59cA1X8GKyKKQV87,0MystbDJBhdcJZBFkpgVbd,139.948,audio_features,-9.774,1,0.03,0.117,0.323,0.593,0.415,0.754,4.86e-06,2003-10-01,69,2003,"latin arena pop, latin pop, mexican pop",68
072YgF7J2clpY8DsWOpEri,Mientes Tan Bien,227613,75,7xeM7V59cA1X8GKyKKQV87,0MystbDJBhdcJZBFkpgVbd,135.896,audio_features,-15.084,1,0.0326,0.109,0.486,0.607,0.188,0.895,1.79e-06,2003-10-01,69,2003,"latin arena pop, latin pop, mexican pop",68
0doPUFYZPjLAFNfqoZy7Jw,Que Me Alcance la Vida,228560,68,7xeM7V59cA1X8GKyKKQV87,5pbMJWLEzbU0HNQBffJyRx,121.975,audio_features,-8.944,1,0.0337,0.128,0.287,0.694,0.47,0.76,0.0,2005-11-18,64,2005,"latin arena pop, latin pop, mexican pop",68
