song_id,song_name,song_duration,song_popularity,artist_id,album_id,year
2uzCfFYh6tSNFdz14ZIf3N,La Negra Tiene Tumbao,253346,58,2weA6hhVqTIN2gSn9PUB9U,1206SPHFIi9EoXIEiqtHr9,2001
0xikWgPgYN9BEes0ieZ8Co,Heard It All Before,295826,60,0hnmRa5ahunapQbPjKUbMK,2y7sSNd02a5uTfauRPY0lp,2001
3K8rbysInYs6bEhMGgm0wh,Never Again,260826,59,6deZN1bslXzeGvOLaLMOIF,5fKL7vMTXvhR9tov8Kqt3u,2001
4WTTh1YtBwf8hhKvRyJPwi,O Me Voy O Te Vas,287626,67,3tJnB0s6c3oXPq1SCCavnd,6Wu8bNDDeQb0mLXYstVAjh,2001
58lcznIKSNlOVdmklrPA99,Science,162666,61,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,2001
7pVP11CCxAvSEWf9fLueWr,Tres Veces Mojado,171920,60,3hYtANQYrE6pd2PbtEyTIy,1NL9uEozaXDi9wET7qCXfG,2001
74yxx7JQEElkvjkJCwvt2M,Ready To Die,174973,58,4YJR4xviDKHoelt9WKHlBa,6BQMUDC55fjjnApdWtZYZM,2001
7DZKSVljcmyBWvgdk5k058,Stay on Your Grind - Screwed,322733,54,4kKaAWGdu6WW0W415RWaQA,09Xf2KxWvXS88dd5OdTcu9,2001
55q3Ro66yXWi9rsEddeEN4,Pyramid Song,288733,63,4Z8W4fKeB5YxbusRsdQVPb,1HrMmB5useeZ0F5lHrMvl0,2001
5GxqKrG0zeKA8uYJMjXwj9,Rock the House,249200,54,3AA28KZvwAUcZuOKwyblJQ,0YvYmLBFFwYxgI4U9KKgUm,2001
77wwKKYeNZnXZ8xChSiSxN,Cumbia sobre el río / Interludio,342973,63,6PmfbeAL7jAauFPNyQ5UPi,0ZCip2zkf5EGx7j4QeRRUD,2001
2RJba1by26f8314u8IgMta,Bloodline,216973,54,1IQ2e1buppatiN1bxUVkrk,1SqpXb3ugUynp0iZgOSWrI,2001
4HIKcEKSijQLW5YNLsdLzt,X,118160,60,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,2001
5tPxcLBsfj9yZS4PAiOr9G,Te Quedó Grande La Yegua,217040,64,6Hf2g14O2TP25JUNZuvIgn,4kI870RBIpDEXCJfDOpyt4,2001
2QsoVMTKj5m5kgztTOep98,Hey Baby,207040,60,0cQbJU1aAzvbEmTuljWLlF,0KFPnm4Ow2L9BuivmWT3pu,2001
5zqqZn6KxTKYCONNQh7OWJ,Sabiendo Quien Era Yo,212253,60,0GOXTf63jIMlOB5Y587SJp,0EHfx6GQgNM2KLrJuHZ4QP,2001
074v54tSEWLbq3Hu5wf6uh,The Whole World (feat. Killer Mike),295346,55,1G9G7WwrXka3Z1r7aIDjI7,5OJKj1KGQEM1pnHtuvY0It,2001
1UwriLz98ILbRhrtohTca1,The Wanderer,167160,59,15FyiY3ChN0QRspHIQYq0W,56sNE1JDGLJLDRK5F83Q0N,2001
4V0he7zYfJLEjfCDfojToB,Seventy Times 7,213640,54,168dgYui7ExaU612eooDF1,1kRnFF71UTGdHmSrRDllKj,2001
4qjvr0qMFUo26SxwC4VygS,Linchpin,204853,61,74Hj7BmnUXyx2udrIEIKwX,3BBDp81EDmExUsPDKERVkN,2001
088gbyPjGW9bF5Gf8hWKMA,El Avión De La Muerte,242026,62,3hYtANQYrE6pd2PbtEyTIy,3Ucu7Yp0cBJvikdVn5qsUA,2001
15yScQGLH5QOuXm9XbhnPb,Leaving Hogwarts,133573,62,3dRfiJ2650SZu6GbydcHNb,6zeHM5CV0CjcS0K8ouWE4N,2001
38084tN66v4KHqiLpl9cN8,Anything (feat. Next),287026,55,4sbB4Yy6Qig51pKCIKSLw3,2Hvu2Yh4ghgcLvYLr3V5dM,2001
3MpK9vnxxgYvh0CNeGvx6G,On the Road Again,148106,55,5W5bDNCqJ1jbCgTxDD0Cb3,3LP0jc2J6fvhpVTKWzvFUk,2001
0n7d3no0cHnsnkgfFzDuj4,A Praise Chorus,243506,56,3Ayl7mCk0nScecqOzvNp6s,0UJhhj5bn5AGAjryFnhueP,2001
0cFlXjTxFdMGGPfLVpt3Wv,Oh Girl,216280,56,7BFr36uI1dzJyo6tpa5Ued,5mPnkoXhX4PWuhqVE30vVh,2001
2yY4ojg6wfEFBGVZoJuXqK,Bombshell,194173,56,5imUS9dQyCbAjUEJJ9QyWC,5H2p4hpkLk7JgZrjj79Q4Y,2001
13y6v1pOA9U5zhS2vXS2eW,Corazon Chiquito,167906,56,65g3CsZVaukwdqu6n5S09K,5C84Das7bwbwRtw9uj53OM,2001
4AkrkORGjiz7c90mwxAvdW,Heroe,263600,68,7qG3b048QCHVRO5Pv1T5lw,045SvC3Y4s8F4BmgZbZ1yt,2001
4N9fFHRxns1B86F8YTneBz,Reckless Abandon,186173,59,6FBDaR13swtiWwGhX1WQsP,3nHpBmW5wJXGeC3ojBkpey,2001
6gsmFgUiSTuinJlScwFODv,I Love You,267160,56,5NDMothbpdpq2xHqSjrrWn,0pP9NBXbbRH2ZJb7fazkZy,2001
3Knohqfb9jeYzL6wMZiWLM,"The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]",229106,63,0OcclcP5o8VKH2TRqSY2A7,04rz93AqGy9JduzV3K81Dh,2001
3svBKSy1pru9EEvnRrNqzf,Warning,278733,56,3YcBF2ttyueytpXtEzn1Za,1rQZbncicoXyB64DqoH7OY,2001
48svUiwMMYQRPyesVEnof1,Tabaco Y Chanel,312400,71,1mux8L6xg2Cmrc7k0wQczl,3oCkAeDln8FVoGIOvf9TNl,2001
2qQCU22yQXKjhytKUBxa59,Comfort Eagle,220202,55,6A43Djmhbe9100UwnI7epV,5OCg9OWnL1PY4tW2ON8ssj,2001
15eXfjBk8M8L0aKJXe5YnG,Bésame,236080,54,4uoz4FUMvpeyGClFTTDBsD,0Q8YqUymZLPDwUwfAHqZHg,2001
7rv1mkFBfSvOq48tLGwjvq,Bullets,229600,57,43sZBwHjahUvgbx1WNIkIz,2ENlJXygQX6en4iziijet6,2001
2Ll44WxlG2eiqL6NtEnf8M,Blood Brothers,213866,64,4RddZ3iHvSpGV4dvATac9X,0BHa0ePkvGAVKymB4FU58m,2001
3tZm76otWH20xzJC7icHCk,Wish I Didn't Miss You,270893,66,2hWr3AjjKOCVmWcwvuT4uM,1pJld4hH1xL3ONIlWZEhXw,2001
1IcnHHfeAkdc88LybFWwb9,Me Liberé,263920,63,6nnspeopmJAG07xOxHmqTu,4VjDEGwmMTP7hOn2Afmbkn,2001
2xezpH0r1pT7kcx2TPNsZ0,De la Noche a la Mañana,260613,71,5oYHL2SijkMY52gKIhYJNb,0fuY5UnmF59L4xKeRSZFbm,2001
36TIklA7o1T0eXS83n1amI,Que Levante La Mano,230266,64,0fdpJLsenUo15X3dPPWJSR,2vnk3clo4g2pmzD2P5QaDp,2001
6KRi6CBUitENJB4HQbSVSD,Escape,208040,56,7qG3b048QCHVRO5Pv1T5lw,6whfi6LNFoQnkvrQAWwZix,2001
6n4urlKnhlJ9kD3NaagMAx,El Niño Y La Boda,183280,62,3hYtANQYrE6pd2PbtEyTIy,1NL9uEozaXDi9wET7qCXfG,2001
4lg0h4AJhPMxbO3VMpbUqS,Harry's Wondrous World,321066,61,3dRfiJ2650SZu6GbydcHNb,6zeHM5CV0CjcS0K8ouWE4N,2001
0a2kVvbCbk52gmeFQFHNaG,Jet Pilot,126400,60,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,2001
2sXMYMpvGVJJBIwrzNf0Lr,Streiht Up Menace,274840,58,0SAPzv3jNXclYYSHOnJyjg,3pmtX0h9cMvyBcwWx5oz3w,2001
0Klbxk3g96Qae4DbCnUNcT,The Patient,433920,57,2yEwvVSSSUkcLeSTNyHKh8,5l5m1hnH4punS1GQXgEi3T,2001
47UjuR24Bp3LgCTHNTynXu,Me Vas A Extrañar,260829,65,03Yb3iBy9GCifXiATEFcit,6DKj6CdMCUYRYJ4BnJnjd0,2001
3T07pNAEVr9adeIG9i1ex4,Color Esperanza,267106,70,0LALueHEQunQ2d61fXGeZh,6lQH3MxpJygGIGs9mOZUNf,2001
0m9ul5FMXzR2k2BRZKamcn,It Was A Good Day,260906,55,3Mcii5XWf6E0lrY3Uky4cA,1JyTJGILAKNrVvafX3vCEE,2001
35eHQOoJKDcubkh3A5quLc,Donde Estará Mi Primavera,257399,66,3tJnB0s6c3oXPq1SCCavnd,6Wu8bNDDeQb0mLXYstVAjh,2001
1ryMgu0CnRSseTYpvMDOLD,Mein Herz brennt,279893,60,6wWVKhxIU2cEi0K81v7HvP,7ikuEzL6xeAgu6yT6YVLy7,2001
3U5TzKrZP6sqiR43LQArV7,Understanding In A Car Crash,264546,54,61awhbNK16ku1uQyXRsQj5,5HMT2y9yUoPH7yYhnyIpQo,2001
02bKaAG61tMw9c63fzKXal,Sin miedo a nada (feat. Amaia Montero),310866,70,2tY2GFdhH0Wa2VBvsxew5X,7cJiLvzLDaEhi2K4pfPYjl,2001
2s678Tz6mme5OV9DfTUUoD,Sangoloteadito,180337,61,7FsRH5bw8iWpSbMX1G7xf1,2PN8SbTA3VEBpfmQaZdak2,2001
