song_id,song_name,song_duration,song_popularity,artist_id,album_id
0zirWZTcXBBwGsevrsIpvT,Clean Baby Sleep White Noise (Loopable),142222,91,6Cqtx9fpxzggIMuKn0RGCp,0NGHR9zjS5eFFlqtClA9VV
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,164571,90,35WVTyRnKAoaGExqgktVyb,4qVzNqB4cskFInYfrC7P0S
2J6OF7CkpdQGSfm1wdclqn,Clouded,110128,87,3tlXnStJ1fFhdScmQeLpuG,3vi20DRHkqv4HyVg9Rt9wC
3hUxzQpSfdDqwM3ZTFQY0K,august,261922,92,06HL4z0CvFAxyc27GXpf02,2fenSS68JI1h4Fo296JfGr
4R2kfaDFhslZEMJqAFNpdd,cardigan,239560,91,06HL4z0CvFAxyc27GXpf02,2fenSS68JI1h4Fo296JfGr
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,193591,87,1URnnhqYAYcrqrcwql10ft,6wTyGUWGCilBFZ837k5aRi
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,178328,86,57vWImR43h4CaDao012Ofp,6m5qlaMzLtNsQDj3DQY5ji
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,213493,84,4YLtscXsxbVgi031ovDDdh,0sOeI7pbAmIc8aDFyvkBUW
2QfX9Pdz3q66fN3kCXl0Js,Revival,221250,82,40ZNYROS4zLfyyBSs2PGe2,3TkSm0esbUBPygKvMrwWQn
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,238805,91,4yvcSjfu4PC0CYQyLy4wSq,5bfpRtBW7RNRdsm3tRyl3R
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,92,1Xyo4u8uXC1ZmMpatF05PJ,4yP0hdKOZPNshxUOjY0cZj
5SWnsxjhdcEDc7LJjq9UHk,Runnin,195906,84,1URnnhqYAYcrqrcwql10ft,6wTyGUWGCilBFZ837k5aRi
5PvVkf1Yuq3XyMqqjPiKPd,Been Away,223629,83,3tlXnStJ1fFhdScmQeLpuG,3vi20DRHkqv4HyVg9Rt9wC
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),169226,81,5fMUXHkw8R8eOP2RNVYEZX,2Om5VEKaBd4Afht33ToQGD
3ruoIF2UnoXdzK8mR61ebq,Rich Nigga Shit (feat. Young Thug),190331,84,1URnnhqYAYcrqrcwql10ft,6wTyGUWGCilBFZ837k5aRi
30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",168489,83,1VPmR4DJC1PlOtd0IADAO0,7rKmLxCFlmtIxGpX4HYgs4
29TPjc8wxfz4XMn21O7VsZ,Sky,193234,85,699OTQXzgjhIYAHMy9RyPD,2QRedhP5RmKJiJ1i8VgDGR
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,196179,82,6QtgPSJPSzcnn7dPZ4VINp,1ZRAeQ6zsPJ5W1K3DvpRpP
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,132832,84,6AgTAQt8XS6jRWi4sX7w49,39xhYyNNDatQtgKw2KdXMz
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,86739,85,3XxNRirzbjfLdDli06zMaB,04uOXDWUgZmTps35RqDBg4
6tDDoYIxWvMLTdKpjFkc1B,telepatía,160191,85,1U1el3k54VvEUzo3ybLPlM,00wSTrFxoSzA7eeS1UxHgd
4xqrdfXkTW4T0RauPLv3WA,Heather,198040,88,4Uc8Dsxct0oMqx0P6i60ea,2CMlkzFI2oDAy5MbyV7OV5
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,127921,82,4V8LLVI7PbaPR0K2TGSxFF,5iUwaD3wFVwfaAfs9Z0eCh
2xB46Bj9HZ4cr058yN4Pla,Secrets,133331,81,31W5EY0aAly4Qieq6OFu6I,4v0IxMbMN975IfxFHzgK9d
0HTIrbUwwFn984RzVZm5Fk,Yale,106536,81,3gBZUcNeVumkeeJ19CY2sX,33afeafKvnHqT7p2lYgdhd
5m0yZ33oOy0yYBtdTXuxQe,Low Down,144651,80,5f7VJjfbwm532GiveGC0ZK,6uhEg4ASZYLIilZFCBFy1r
6J2LdBN97cDWn0MLxYh9HB,July,156106,83,55fhWPvDiMpLnE4ZzNXZyW,5Gn3fFzlWL89j0hGumtXb5
0sY6ZUTh4yoctD8VIXz339,champagne problems,244000,83,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq
5hM5arv9KDbCHS0k9uqwjr,Borderline,237800,84,5INjqkS1o8h1imAzPqGZBb,31qVWUdRrlb8thMvts0yYL
5QO79kh1waicV47BqGRL3g,Save Your Tears,215626,89,1Xyo4u8uXC1ZmMpatF05PJ,4yP0hdKOZPNshxUOjY0cZj
6IBcOGPsniK3Pso1wHIhew,Forever After All,232533,80,718COspgdWOnwOFpJHRZHS,25TJxI6ZH6XjT8geRQAFz5
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),220487,83,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),210800,84,7dGJo4pcD2V6oG8kP0tJRR,4otkd9As6YaxxEkIjXPiZ6
3K07bGe8iljQ3mOKArHLDo,Starting Over,240413,78,4YLtscXsxbVgi031ovDDdh,0sOeI7pbAmIc8aDFyvkBUW
6bnF93Rx87YqUBLSgjiMU8,Heartless,198266,85,1Xyo4u8uXC1ZmMpatF05PJ,4yP0hdKOZPNshxUOjY0cZj
6M0EP76qW9TG4SNU0agu94,Uuuu,90708,80,57vWImR43h4CaDao012Ofp,6m5qlaMzLtNsQDj3DQY5ji
0Jlcvv8IykzHaSmj49uNW8,the 1,210251,82,06HL4z0CvFAxyc27GXpf02,2fenSS68JI1h4Fo296JfGr
0zWbYGQq5O1KQd0iqzgjP6,Rehab (Winter In Paris),180303,79,3tlXnStJ1fFhdScmQeLpuG,3vi20DRHkqv4HyVg9Rt9wC
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),285634,83,06HL4z0CvFAxyc27GXpf02,2fenSS68JI1h4Fo296JfGr
45bE4HXI0AwGZXfZtMp8JR,you broke me first,169265,86,45dkTj5sMRSjrmBSBeiHym,1RWiRfdNZKDe8VXzzf2VEc
4PklAHGXT5ityno3IA8SKd,Go Stupid,165726,79,6AgTAQt8XS6jRWi4sX7w49,39xhYyNNDatQtgKw2KdXMz
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),149077,80,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK
