song_id,song_name,song_duration,song_popularity,artist_id,album_id
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,240400,92,77SW9BnxLY8rJ0RciFqkHh,4xkM0BwLM9H2IUcbYzpcBI
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,183956,95,7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu
5fEB6ZmVkg63GZg9qO86jh,Break from Toronto,99213,87,2HPaUgqeutzr3jx5a9WyDV,1q4B7r3dzzwkarZ1B9bk9e
2XHzzp1j4IfTNp1FTn7YFg,Love Me,255053,86,55Aa2cqylxrFIXC767Z865,6Pqlfg42Sc3ElNuyt5NUiK
3sNVsP50132BTNlImLx70i,Bound 2,229146,87,5K4W6rqBFWDnAN6FQUkS6x,7D2NdGvBHIavgLhmcwhluK
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,161123,90,7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,208760,81,26T3LtbuGT1Fu9m0eRq5X3,4EK8gtQfdVsmDTji7gBFlz
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,272394,90,7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),241160,81,6l3HvQ5sa6mXTsMTB19rO5,5FP9keIJnlSCKnkdVOf623
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,161462,84,0pg0Zm8FsGAYy5kdHuBnSo,23KJrzHF1IBfjzpRgTtaJx
5cc9Zbfp9u10sfJeKZ3h16,3005,234215,81,73sIBHcqh3Z3NyqHKZ7FOL,62yjWIhnATHxPqGbgC9Lqr
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,236053,88,00FQb4jTyendYWaN8pK0wa,1D92WOHWUI2AGQCCdplcXL
3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,298373,81,7FY5V3XMwlNBPitEjXowHQ,6cowf7fdb5dgKoglTekOK8
2enPRFda84VE2wtI8c86Uf,Always Forever,223746,82,3Oim8XBPbznAa8Jj8QzNc8,6WnfWrfsfu7T9TXbHIFHX9
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,247426,88,1vCWHaC5f2uS3yhpwWbIA6,2H6i2CrWgXE1HookLu8Au0
2AYEOC02WLhUiOoaig2SEH,Out of My League,209386,76,4AcHt3JxKy59IX7JNNlZn4,3IWUFJCM3CvCCQIHQ4vtRK
2MvvoeRt8NcOXWESkxWn3g,Ribs,258969,81,163tK9Wjr9P9DmM0AVK7lm,0rmhjUgoVa17LZuS8xWQ3v
03fT3OHB9KyMtGMt2zwqCT,Play It Again,226866,78,0BvkDsjIUla7X0k6CSWh1I,5M8gr5RV2eR6UkztC69ogB
1yjY7rpaAQvKwpdUliHx0d,Still into You,216013,82,74XFHRwlV6OrjEM0A2NCMF,4sgYpkIASM1jVlNC8Wp9oF
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",227880,75,3TVXtAsR1Inumwj472S9r4,1XslIirSxfAhhxRdn4Li9t
1HMQmOWrkieKYWlFsjUP3D,Bloom - Bonus Track,210080,80,79hrYiudVcFyyxyJW0ipTy,1lq6KMHFACcE6GQZysxnSZ
2dLLR6qlu5UJ5gk0dKz0h3,Royals,190185,84,163tK9Wjr9P9DmM0AVK7lm,0rmhjUgoVa17LZuS8xWQ3v
3U4isOIWM3VvDubwSI3y7a,All of Me,269560,87,5y2Xq6xcjJb2jVM54GHK3t,4OTAx9un4e6NfoHuVRiOrC
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,257265,88,5Pwc4xIPtQLFEnJriah9YJ,20lOt6G8MHv8ZO7ViOmiP7
3gbBpTdY8lnQwqxNCcf795,Pompeii,214147,74,7EQ0qTo7fWT7DPxmxtSYEc,64fQ94AVziavTPdnkCS6Nj
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,192789,85,4gwpcMTbLWtBUlOijbVpuu,3WrufJir7I61NkvkDwxero
5nkUIVKqOqdpB6ApKgEMkv,Stay Ready (What A Life),382760,79,5ZS223C6JyBfXasXxrRqOk,73TNMu44lT0m1h1Nn6Bfiq
5anCkDvJ17aznvK5TED5uo,Hail to the King,305906,80,0nmQIMXWTXfhgOBdNzhGOs,0ks45m1bsP2JsZpM5D2FFA
3JvKfv6T31zO0ini8iNItO,Another Love,244360,92,2txHhyCwHjUEpJjWrEyqyX,0Gf1yE895FKK4YWVRuAeg8
3YZE5qDV7u1ZD1gZc47ZeR,Underneath the Tree,229640,73,3BmGtnKgCSGYIUhmivXKWX,7Jahqd1kx9Qau0E9x9iZj6
2AT8iROs4FQueDv2c8q2KE,R U Mine?,201726,84,7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu
3G6hD9B2ZHOsgf4WfNu7X1,Team,193058,82,163tK9Wjr9P9DmM0AVK7lm,0rmhjUgoVa17LZuS8xWQ3v
