artist_id,artist_genres,artist_popularity
77SW9BnxLY8rJ0RciFqkHh,"modern alternative rock, modern rock, pop, pov: indie",81
7Ln80lUS6He07XvHI8qqHH,"garage rock, modern rock, permanent wave, rock, sheffield indie",84
2HPaUgqeutzr3jx5a9WyDV,"r&b, rap, urban contemporary",76
55Aa2cqylxrFIXC767Z865,"hip hop, new orleans rap, pop rap, rap, trap",83
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap",88
7Ln80lUS6He07XvHI8qqHH,"garage rock, modern rock, permanent wave, rock, sheffield indie",84
26T3LtbuGT1Fu9m0eRq5X3,"modern alternative rock, modern rock, pov: indie, punk blues, rock",71
7Ln80lUS6He07XvHI8qqHH,"garage rock, modern rock, permanent wave, rock, sheffield indie",84
6l3HvQ5sa6mXTsMTB19rO5,"conscious hip hop, hip hop, north carolina hip hop, rap",84
0pg0Zm8FsGAYy5kdHuBnSo,"countrygaze, lo-fi emo, lo-fi indie, pov: indie, slowcore, small room",65
73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop, hip hop, rap",76
00FQb4jTyendYWaN8pK0wa,"art pop, pop",88
7FY5V3XMwlNBPitEjXowHQ,"black americana, contemporary country, country, country road, modern country rock",65
3Oim8XBPbznAa8Jj8QzNc8,"experimental pop, indie surf, pov: indie",67
1vCWHaC5f2uS3yhpwWbIA6,"dance pop, edm, pop, pop dance",78
4AcHt3JxKy59IX7JNNlZn4,"la indie, modern alternative rock, modern rock, pop rock, pov: indie",63
163tK9Wjr9P9DmM0AVK7lm,"art pop, metropopolis, nz pop, pop",74
0BvkDsjIUla7X0k6CSWh1I,"contemporary country, country, country road, modern country rock",73
74XFHRwlV6OrjEM0A2NCMF,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",75
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",95
79hrYiudVcFyyxyJW0ipTy,"acoustic pop, australian indie folk, indie anthem-folk, indie folk, stomp and flutter, stomp and holler",67
163tK9Wjr9P9DmM0AVK7lm,"art pop, metropopolis, nz pop, pop",74
5y2Xq6xcjJb2jVM54GHK3t,"neo soul, pop, pop soul, urban contemporary",73
5Pwc4xIPtQLFEnJriah9YJ,"piano rock, pop",80
7EQ0qTo7fWT7DPxmxtSYEc,"metropopolis, modern rock, pop",71
