song_id,song_name,song_duration,song_popularity,artist_id,album_id
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,167066,85,6FBDaR13swtiWwGhX1WQsP,652N05EcNH1a4bIlUixQE2
1KGi9sZVMeszgZOWivFpxs,No Scrubs,214400,83,0TImkz4nPqjegtVSMZnMRq,1CvjjpvqVMoyprsf74bpYW
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,215906,85,0L8ExT028jH3ddEcZwqJJ5,2Y9IRtehByVkegoD7TcLfi
5cZqsjVs6MevCnAkasbEOX,Break Stuff,166706,82,165ZgPlLkK7bf5bDoFc6Sb,3HCCUaRSjHSFOe4fqE0BiP
48UPSzbZjgc449aqz8bxox,Californication,329733,86,0L8ExT028jH3ddEcZwqJJ5,2Y9IRtehByVkegoD7TcLfi
4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,148360,82,6FBDaR13swtiWwGhX1WQsP,652N05EcNH1a4bIlUixQE2
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,222293,82,6DPYiyq5kWVQS4RGwxzPC7,7q2B4M5EiBkqrlsNW8lB7N
503OTo2dSqe7qk76rgsbep,Still D.R.E.,270586,85,6DPYiyq5kWVQS4RGwxzPC7,7q2B4M5EiBkqrlsNW8lB7N
7nnWIPM5hwE3DaUBkvOIpy,Drive,232453,79,3YcBF2ttyueytpXtEzn1Za,2i6nd4FV6y7K9fln6eelmR
2yxTGxTDbgcbMN0Ae102bn,Rockin' Around The Christmas Tree,126266,77,4cPHsZM98sKzmV26wlwD2W,1gAceSZFd4irbzRRHLof8U
64BbK9SFKH2jk86U3dGj2P,Otherside,255373,84,0L8ExT028jH3ddEcZwqJJ5,2Y9IRtehByVkegoD7TcLfi
1ZozJfi8u9cO2Ob8KwiwNT,Higher,316733,77,43sZBwHjahUvgbx1WNIkIz,3Nyjm9NBEdiaiWr2BEaV46
3cfOd4CMv2snFaKAnMdnvK,All Star,200373,82,2iEvnFsWxR0Syqu2JNopAd,2kyTLcEZe6nc1s6ve0zW9P
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,161506,82,6DPYiyq5kWVQS4RGwxzPC7,7q2B4M5EiBkqrlsNW8lB7N
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,213306,84,5rSXSAkZ67PYJSvpUpkOr7,5ySxm9hxBNss01WCL7GLyQ
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,169026,75,5mgr0FFpvy267wKVAYg8qp,3w5Uz3q4SJze14P60ZChsp
6leiB1fEsTnVCuPiielde5,Something Like That,183733,74,6roFdX1y5BYSbp60OTJWMd,2EkJjknrgd5DeIH2x9HLjD
7H6ev70Weq6DdpZyyTmUXk,Say My Name,271333,80,1Y8cdNmUJH7yBTd9yOvr5i,283NWqNsCA9GwVHrJk59CG
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,211066,83,26dSoYclwsYLMAKD3tpOr4,3WNxdumkSMGMJRhEgK80qx
7EQvdUJqZ2i7SWvSB2VqGA,Doomsday,298053,76,2pAWfrd7WFF3XhVt9GooDL,5bjUbZPVTEQcb6W3LquX1E
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,235293,79,7jy3rLJdDQY21OgRLCZ9sD,28q2N44ocJECgf8sbHEDfY
2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),155933,75,5v8jlSmAQfrkTjAlpUfWtu,4lculT3R9mxFqdmXOCLuY7
25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,241666,80,4mYFgEjpQT4IKOrjOUKyXu,3xmKWmqJFoXS22tePO3mgd
1TanmIWbaUj5NVwJ3k4XPd,Write This Down,219600,71,5vngPClqofybhPERIqQMYd,2Kudx2lMsMx3svYdb2xe2F
3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),261973,78,6GI52t8N5F02MxU0g5U69P,10aiDpdFGyfCFEcqpx6XTq
3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,287266,72,25IG9fa7cbdmCIy3OnuH57,3y6G5El2I6QrJA9BdfAbqA
2F6FfZ4w8z3eJpSxPotVO5,Falling Away from Me,270920,75,3RNrq3jvMZxD9ZyoOZbQOD,5U0pevIOTrPoDsN8YsBCBh
75IN3CtuZwTHTnZvYM4qnJ,My Name Is,268400,77,7dGJo4pcD2V6oG8kP0tJRR,0vE6mttRTBXRe9rKghyr1l
1Y13csEpu3TK5gQdzGLrd8,Pardon Me,223746,72,3YcBF2ttyueytpXtEzn1Za,2i6nd4FV6y7K9fln6eelmR
0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,274800,70,43sZBwHjahUvgbx1WNIkIz,3Nyjm9NBEdiaiWr2BEaV46
15DLl1r2zi07Ssq5RT1yT0,Wait and Bleed,147840,69,05fG473iIaoy82BF1aGhL8,5lOFvOWAdy9G6p44noRILU
6xpDh0dXrkVp0Po1qrHUd8,Adam's Song,249626,75,6FBDaR13swtiWwGhX1WQsP,652N05EcNH1a4bIlUixQE2
7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',283066,73,3nFkdlSjzX9mRTtwJOzDYB,3rWJsuu7ukoZZhp7YYkjNZ
7mnGQesk1TzQLzQ9bYWZPR,She's so High,224693,74,3KEb1kbIZN5jumsjFEWgSW,3v17hBg9lx5vdJQ8Dfr6OD
2f9XA7pBMjrHPO2cJW5XCu,Llorar,223160,75,7bzt5lHL6bzLO3c9mkxNMW,7Jg8fZez7GpqByiKAnej88
6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),220293,78,46lnlnlU0dXTDpoAUmH6Qx,13BmLGhVCLBn3XzKB8HIai
11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,217573,76,1l7ZsJRRS8wlW3WfJfPfNS,6fpPZS13ImRVpr7Tqs6yP9
1cU34sZG9kF4FYHCoAD0Ib,Some Kind Of Wonderful - Remastered 1999,202733,70,0qEcf3SFlpRcb3lK3f2GZI,0ib2UtSmLGssyqyoY6X8cm
4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",230200,73,1Y8cdNmUJH7yBTd9yOvr5i,283NWqNsCA9GwVHrJk59CG
1SWVDBtw6h3tm9OehOkDhv,What's The Difference,244200,78,6DPYiyq5kWVQS4RGwxzPC7,7q2B4M5EiBkqrlsNW8lB7N
6mz1fBdKATx6qP4oP1I65G,Pony,251733,74,7r8RF1tN2A4CiGEplkp1oP,4he7R24eqd1EbF9kegiAK8
0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,243160,77,7slfeZO9LsJbWgpkIoXBUJ,1k1Cr3nlJDa8pvwZUJ5xfj
7rDcULv8vV16vetBjPJhuE,How Do You Like Me Now?!,209066,69,2bA6fzP0lMAQ4kz6CF61w8,2GBWYbIHyVneL0VylPXa6Y
0LWkaEyQRkF0XAms8Bg1fC,Party Up,268866,73,1HwM5zlC5qNWhJtM00yXzG,62l3f8u6j9eyDhuxsZA2iH
1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",256026,74,1Y8cdNmUJH7yBTd9yOvr5i,283NWqNsCA9GwVHrJk59CG
2zbjlcLi1VQWqDNYdhyx1l,So Anxious,276066,70,7r8RF1tN2A4CiGEplkp1oP,0yfC7hiO3iAaVvNCVcwjVY
15MJ5NThPjj6xhPcts8MiY,"Take My Breath Away - Love Theme from ""Top Gun""",255733,75,2aS6jYh7ysTL1ZUsHneNgM,6K8iDZW8jPaoiqSzFFebJA
