song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
2m1hi0nfMR9vdGC8UcrnwU,148.726,audio_features,-4.918,1,0.0488,0.612,0.684,0.434,0.897,0.0103,0.0
1KGi9sZVMeszgZOWivFpxs,92.909,audio_features,-4.267,0,0.0953,0.0685,0.59,0.743,0.675,0.0251,0.000717
1G391cbiT3v3Cywg8T7DM1,88.969,audio_features,-4.803,1,0.0295,0.108,0.547,0.595,0.717,0.0779,0.00274
5cZqsjVs6MevCnAkasbEOX,108.948,audio_features,-6.659,1,0.13,0.166,0.624,0.432,0.884,0.0127,0.000527
48UPSzbZjgc449aqz8bxox,96.483,audio_features,-2.788,0,0.027,0.127,0.328,0.592,0.767,0.0021,0.00165
4LJhJ6DQS7NwE7UKtvcM52,157.66,audio_features,-7.419,1,0.0692,0.0878,0.468,0.391,0.951,0.0126,0.000378
7iXF2W9vKmDoGAhlHdpyIa,133.974,audio_features,-1.299,1,0.0774,0.163,0.621,0.924,0.74,0.0827,0.0
503OTo2dSqe7qk76rgsbep,93.431,audio_features,-3.323,1,0.234,0.0543,0.527,0.816,0.775,0.16,0.00031
7nnWIPM5hwE3DaUBkvOIpy,90.565,audio_features,-7.34,0,0.036,0.119,0.666,0.645,0.792,0.0562,0.0121
2yxTGxTDbgcbMN0Ae102bn,67.196,audio_features,-8.749,1,0.0502,0.505,0.898,0.589,0.472,0.614,0.0
64BbK9SFKH2jk86U3dGj2P,123.229,audio_features,-3.265,1,0.0574,0.0756,0.513,0.458,0.795,0.00316,0.000202
1ZozJfi8u9cO2Ob8KwiwNT,155.827,audio_features,-6.254,1,0.0364,0.206,0.431,0.459,0.83,5.15e-05,0.00014
3cfOd4CMv2snFaKAnMdnvK,104.019,audio_features,-5.881,1,0.032,0.0861,0.776,0.731,0.867,0.0395,0.0
4LwU4Vp6od3Sb08CsP99GC,95.295,audio_features,-2.429,0,0.27,0.0856,0.309,0.922,0.909,0.0281,0.0
47BBI51FKFwOMlIiX6m8ya,99.039,audio_features,-5.83,0,0.027,0.148,0.482,0.689,0.694,0.257,0.0
33iv3wnGMrrDugd7GBso1z,103.408,audio_features,-2.757,1,0.0637,0.398,0.741,0.494,0.946,0.00129,0.0
6leiB1fEsTnVCuPiielde5,171.8,audio_features,-5.679,1,0.0472,0.0567,0.847,0.507,0.85,0.378,0.0
7H6ev70Weq6DdpZyyTmUXk,138.009,audio_features,-3.525,0,0.102,0.149,0.734,0.713,0.678,0.273,0.0
3MjUtNVVq3C8Fn0MP3zhXa,92.96,audio_features,-5.745,0,0.0307,0.443,0.907,0.759,0.699,0.202,0.000131
7EQvdUJqZ2i7SWvSB2VqGA,95.416,audio_features,-7.736,0,0.334,0.0773,0.792,0.856,0.84,0.0973,0.0
5OQsiBsky2k2kDKy2bX2eT,135.997,audio_features,-4.025,1,0.0408,0.262,0.537,0.465,0.919,1.83e-05,2.07e-05
2pXpURmn6zC5ZYDMms6fwa,112.874,audio_features,-12.25,1,0.0599,0.116,0.718,0.724,0.276,0.76,0.0
25FTMokYEbEWHEdss5JLZS,94.661,audio_features,-3.904,1,0.0495,0.174,0.633,0.625,0.85,0.346,0.000233
1TanmIWbaUj5NVwJ3k4XPd,123.867,audio_features,-7.468,1,0.0264,0.295,0.671,0.729,0.688,0.127,9.44e-06
3XKIUb7HzIF1Vu9usunMzc,97.911,audio_features,-5.931,1,0.126,0.0348,0.68,0.777,0.601,0.0406,0.00201
3rXCZRMiMZp0feGcYXpwYX,164.418,audio_features,-7.255,1,0.031,0.0982,0.455,0.467,0.622,0.365,0.00527
2F6FfZ4w8z3eJpSxPotVO5,104.102,audio_features,-7.036,1,0.041,0.271,0.17,0.468,0.769,0.00014,0.00124
75IN3CtuZwTHTnZvYM4qnJ,85.519,audio_features,-6.233,1,0.318,0.0914,0.815,0.869,0.68,0.0416,1.12e-06
1Y13csEpu3TK5gQdzGLrd8,152.002,audio_features,-6.509,0,0.0693,0.115,0.278,0.579,0.812,0.00114,0.00333
0eKyHwckh9vQb8ncZ2DXCs,138.852,audio_features,-8.412,1,0.0302,0.117,0.141,0.41,0.539,0.00425,0.00089
15DLl1r2zi07Ssq5RT1yT0,93.345,audio_features,-4.119,1,0.104,0.417,0.327,0.382,0.996,0.00208,0.0
6xpDh0dXrkVp0Po1qrHUd8,136.028,audio_features,-5.803,1,0.0348,0.364,0.382,0.52,0.775,0.034,0.0
7m97yKVzPpXV9Z4ezEziOD,138.083,audio_features,-6.307,0,0.14,0.0584,0.942,0.88,0.814,0.168,0.00672
7mnGQesk1TzQLzQ9bYWZPR,124.269,audio_features,-4.626,1,0.0363,0.0998,0.211,0.537,0.84,0.2,2.15e-06
2f9XA7pBMjrHPO2cJW5XCu,172.013,audio_features,-6.917,0,0.113,0.0524,0.962,0.783,0.591,0.0577,0.0
6x4tKaOzfNJpEJHySoiJcs,174.06,audio_features,-6.752,0,0.408,0.306,0.892,0.622,0.807,0.103,0.0
11mwFrKvLXCbcVGNxffGyP,175.716,audio_features,-6.945,1,0.166,0.137,0.913,0.633,0.8,0.209,0.000123
1cU34sZG9kF4FYHCoAD0Ib,121.472,audio_features,-6.51,1,0.0514,0.36,0.647,0.855,0.691,0.144,0.0
4pmc2AxSEq6g7hPVlJCPyP,88.997,audio_features,-4.639,1,0.0567,0.0537,0.683,0.771,0.685,0.00543,0.00157
1SWVDBtw6h3tm9OehOkDhv,91.921,audio_features,-0.14,0,0.25,0.148,0.77,0.772,0.821,0.223,0.0
6mz1fBdKATx6qP4oP1I65G,142.024,audio_features,-9.359,0,0.086,0.115,0.966,0.749,0.605,0.00186,0.0381
0Ph6L4l8dYUuXFmb71Ajnd,178.043,audio_features,-3.756,0,0.0476,0.0555,0.933,0.425,0.954,0.00414,0.0
7rDcULv8vV16vetBjPJhuE,109.609,audio_features,-8.986,1,0.0311,0.0908,0.669,0.648,0.667,0.0534,6.94e-06
0LWkaEyQRkF0XAms8Bg1fC,201.936,audio_features,-3.302,1,0.347,0.5,0.53,0.51,0.931,0.0738,0.0
1Oi2zpmL81Q0yScF1zxaC0,127.641,audio_features,-5.15,0,0.153,0.0764,0.461,0.845,0.576,0.139,0.0
2zbjlcLi1VQWqDNYdhyx1l,96.085,audio_features,-11.959,0,0.0366,0.468,0.661,0.733,0.395,0.279,2.37e-06
15MJ5NThPjj6xhPcts8MiY,95.769,audio_features,-9.397,1,0.0266,0.411,0.547,0.497,0.719,0.0613,0.0
0eEXcw3JLVXcRxYrVYMy68,98.243,audio_features,-9.201,1,0.229,0.0929,0.841,0.866,0.534,0.184,0.266
1wsRitfRRtWyEapl0q22o8,103.68,audio_features,-5.764,1,0.188,0.155,0.489,0.599,0.957,0.0129,7.06e-05
4BggEwLhGfrbrl7JBhC8EC,103.502,audio_features,-4.17,0,0.081,0.107,0.609,0.736,0.811,0.00132,0.000142
0Ed7MeXx64f6OcIuoTRCg1,168.96,audio_features,-4.361,1,0.116,0.139,0.929,0.765,0.88,0.176,1e-05
1TEZWG1FdjzDdercCguTwj,97.57,audio_features,-5.996,1,0.082,0.718,0.284,0.573,0.929,0.00218,0.0723
0n2SEXB2qoRQg171q7XqeW,115.996,audio_features,-3.908,1,0.0338,0.295,0.961,0.609,0.923,0.16,4.73e-06
3QV7NYkrmV0Q0IHdFJw9hO,122.07,audio_features,-7.066,0,0.0382,0.278,0.906,0.689,0.886,0.0664,0.0
