artist_id,artist_genres,artist_popularity
6FBDaR13swtiWwGhX1WQsP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
0TImkz4nPqjegtVSMZnMRq,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",66
0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock",80
165ZgPlLkK7bf5bDoFc6Sb,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",72
0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock",80
6FBDaR13swtiWwGhX1WQsP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",77
6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",77
3YcBF2ttyueytpXtEzn1Za,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock",66
4cPHsZM98sKzmV26wlwD2W,"adult standards, easy listening, lounge, rockabilly",64
0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock",80
43sZBwHjahUvgbx1WNIkIz,"alternative metal, nu metal, post-grunge",67
2iEvnFsWxR0Syqu2JNopAd,"pop rock, post-grunge",63
6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",77
5rSXSAkZ67PYJSvpUpkOr7,"boy band, dance pop, pop",72
5mgr0FFpvy267wKVAYg8qp,"alternative metal, nu metal, pop punk, pop rock, socal pop punk",54
6roFdX1y5BYSbp60OTJWMd,"contemporary country, country, country road",68
1Y8cdNmUJH7yBTd9yOvr5i,"dance pop, girl group, pop, r&b, urban contemporary",68
26dSoYclwsYLMAKD3tpOr4,"dance pop, pop",78
2pAWfrd7WFF3XhVt9GooDL,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop",73
7jy3rLJdDQY21OgRLCZ9sD,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",75
5v8jlSmAQfrkTjAlpUfWtu,"adult standards, easy listening",60
4mYFgEjpQT4IKOrjOUKyXu,pop rock,61
5vngPClqofybhPERIqQMYd,"contemporary country, country, country road",69
6GI52t8N5F02MxU0g5U69P,"blues rock, classic rock, mexican classic rock",68
25IG9fa7cbdmCIy3OnuH57,"contemporary country, country, country dawn",64
3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",73
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
3YcBF2ttyueytpXtEzn1Za,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock",66
43sZBwHjahUvgbx1WNIkIz,"alternative metal, nu metal, post-grunge",67
05fG473iIaoy82BF1aGhL8,"alternative metal, nu metal, rap metal, rock",75
6FBDaR13swtiWwGhX1WQsP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
3nFkdlSjzX9mRTtwJOzDYB,"east coast hip hop, gangster rap, hip hop, pop rap, rap",81
3KEb1kbIZN5jumsjFEWgSW,pop rock,51
7bzt5lHL6bzLO3c9mkxNMW,"cumbia del sureste, cumbia sonidera, musica campechana, ranchera, tropical",59
46lnlnlU0dXTDpoAUmH6Qx,latin pop,56
1l7ZsJRRS8wlW3WfJfPfNS,"dance pop, pop",74
0qEcf3SFlpRcb3lK3f2GZI,"album rock, blues rock, classic rock, country rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",53
1Y8cdNmUJH7yBTd9yOvr5i,"dance pop, girl group, pop, r&b, urban contemporary",68
6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",77
7r8RF1tN2A4CiGEplkp1oP,"contemporary r&b, hip pop, r&b, urban contemporary",62
7slfeZO9LsJbWgpkIoXBUJ,"latin pop, mexican pop, puerto rican pop",70
2bA6fzP0lMAQ4kz6CF61w8,"classic oklahoma country, contemporary country, country, country road",65
1HwM5zlC5qNWhJtM00yXzG,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",67
1Y8cdNmUJH7yBTd9yOvr5i,"dance pop, girl group, pop, r&b, urban contemporary",68
7r8RF1tN2A4CiGEplkp1oP,"contemporary r&b, hip pop, r&b, urban contemporary",62
2aS6jYh7ysTL1ZUsHneNgM,"new romantic, new wave pop, synthpop",58
09hVIj6vWgoCDtT03h8ZCa,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",64
2d0hyoQ5ynDBnkvAbJKORj,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",68
4iSKnRZAxkmqNok6tv10Se,"alternative metal, funk metal, nu metal, post-grunge, rap rock",55
6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",77
165ZgPlLkK7bf5bDoFc6Sb,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",72
6GI52t8N5F02MxU0g5U69P,"blues rock, classic rock, mexican classic rock",68
3grHWM9bx2E9vwJCdlRv9O,"contemporary country, country, country road, modern country rock",67
3qbnxnvUqR14MJ9g8QwZJK,"contemporary country, country, country road",55
50NoVNy9GU1lCrDV8iGpyu,"east coast hip hop, hardcore hip hop, hip hop",62
6x9QLdzo6eBZxJ1bHsDkjg,"contemporary r&b, dirty south rap, hip pop, r&b, urban contemporary",55
37W8SKV5Vc8lcGtdyWCA5m,"contemporary country, country, country road",55
5imUS9dQyCbAjUEJJ9QyWC,"alternative metal, funk metal, industrial metal, industrial rock, nu metal, rap metal",50
2pAWfrd7WFF3XhVt9GooDL,"alternative hip hop, east coast hip hop, hip hop, instrumental hip hop",73
5KDIH2gF0VpelTqyQS7udb,"alternative metal, nu metal, post-grunge",62
6TcnmlCSxihzWOQJ8k0rNS,"alternative metal, alternative rock, pop rock, post-grunge",60
64rxQRJsLgZwHHyWKB8fiF,"eurodance, europop, italian adult pop, italo dance",58
4ylR3zwA0zaapAu94fktwa,neo soul,56
0Mz5XE0kb1GBnbLQm2VbcO,"conscious hip hop, east coast hip hop, hip hop",62
1w5Kfo2jwwIPruYS2UWh56,"alternative metal, alternative rock, grunge, permanent wave, rock",71
4VmEWwd8y9MCLwexFMdpwt,"east coast hip hop, hardcore hip hop, hip hop",67
3g2kUQ6tHLLbmkV7T4GPtL,"art pop, chamber pop, dark pop, lilith, permanent wave, piano rock, singer-songwriter",60
4lxfqrEsLX6N1N4OCSkILp,"rock drums, soft rock",73
0ZCO8oVkMj897cKgFH7fRW,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical",74
7guDJrEfX3qb6FEbdPA5qi,"motown, soul",73
