song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
3dPQuX8Gs42Y7b454ybpMR,123.596,audio_features,-7.807,0,0.0683,0.337,0.278,0.743,0.446,0.0039,0.118
0COqiPhxzoWICwFCS4eZcp,94.612,audio_features,-3.188,0,0.0698,0.242,0.296,0.331,0.943,0.00721,2.06e-06
2PpruBYCo4H7WOBJ7Q2EwM,79.526,audio_features,-2.261,0,0.0664,0.174,0.965,0.727,0.974,0.103,0.000532
2nLtzopw4rPReszdYBJU6h,110.018,audio_features,-4.153,1,0.0381,0.639,0.243,0.496,0.863,0.0046,0.0
4RY96Asd9IefaL3X4LOLZ8,90.059,audio_features,-2.776,0,0.347,0.0749,0.805,0.902,0.72,0.26,0.0
5IVuqXILoxVWvWEPm82Jxr,99.165,audio_features,-6.596,0,0.226,0.0715,0.681,0.646,0.77,0.00249,0.0
6I9VzXrHxO9rA9A5euc8Ak,143.04,audio_features,-3.914,0,0.114,0.242,0.924,0.774,0.838,0.0249,0.025
69Ej1xrGjOcHvIMtMKxK0G,94.001,audio_features,-7.501,0,0.141,0.042,0.714,0.817,0.714,0.184,0.000132
1oTo3ijRbaDAtrjJrGAPSw,110.0,audio_features,-6.547,1,0.0339,0.0867,0.593,0.664,0.781,0.00103,5.33e-06
23oxJmDc1V9uLUSmN2LIvx,173.734,audio_features,-3.751,0,0.0638,0.0947,0.786,0.486,0.904,3.43e-05,2.83e-05
41bIQPBE1lFN0mmw6Lmssz,90.012,audio_features,-3.908,0,0.317,0.0512,0.908,0.576,0.807,0.353,0.000363
3XVBdLihbNbxUwZosxcGuJ,118.402,audio_features,-9.129,1,0.106,0.104,0.166,0.609,0.444,0.603,6.86e-06
2I9foKseoFQh07p6sD2voE,108.52,audio_features,-2.93,0,0.354,0.131,0.416,0.653,0.826,0.0153,0.00146
0M955bMOoilikPXwKLYpoi,89.342,audio_features,-5.157,0,0.0421,0.139,0.453,0.498,0.83,0.00461,0.0
77loZpT5Y5PRP1S451P9Yz,82.952,audio_features,-4.649,1,0.029,0.159,0.0681,0.472,0.671,0.0129,0.0
4Yf5bqU3NK4kNOypcrLYwU,135.095,audio_features,-3.554,1,0.131,0.0731,0.594,0.554,0.978,0.111,0.0
5YJ4BVvTFmVCxUyhKejHfR,91.995,audio_features,-3.825,0,0.122,0.244,0.872,0.815,0.856,0.4,8.34e-05
27L8sESb3KR79asDUBu8nW,118.015,audio_features,-4.927,0,0.0412,0.0808,0.927,0.774,0.75,0.00207,1.78e-05
6Nq5lE0CeOAAAqN4qhkbZU,82.331,audio_features,-3.041,0,0.268,0.0841,0.535,0.662,0.748,0.688,8.43e-06
0r8iDf65NHgFgZOGLwj5r8,164.857,audio_features,-6.24,0,0.044,0.0999,0.933,0.551,0.825,0.152,6.2e-06
57Xjny5yNzAcsxnusKmAfA,158.009,audio_features,-5.11,1,0.0336,0.101,0.77,0.489,0.649,0.000603,0.713
44NRdYQw7P0GWuiunRv3hr,167.169,audio_features,-4.479,1,0.0628,0.102,0.376,0.217,0.92,2.86e-05,0.0
1A5V1sxyCLpKJezp75tUXn,91.854,audio_features,-5.454,1,0.0289,0.115,0.274,0.478,0.854,0.0204,1.21e-06
305WCRhhS10XUcH6AEwZk6,105.046,audio_features,-3.435,1,0.0855,0.152,0.537,0.613,0.953,0.00148,0.000582
2D1hlMwWWXpkc3CZJ5U351,78.693,audio_features,-3.012,0,0.342,0.0401,0.889,0.7,0.758,0.0444,1.3e-05
3agtg0x11wPvLIWkYR39nZ,162.065,audio_features,-3.754,1,0.0645,0.261,0.442,0.451,0.951,0.00038,2.39e-06
0xmjwnQ3FNE6HuWCt2nHdZ,94.086,audio_features,-3.222,1,0.178,0.131,0.809,0.834,0.699,0.111,0.0
5z7mYFfhw6N6f23VwrokJD,125.999,audio_features,-4.932,0,0.0464,0.0638,0.635,0.871,0.597,0.126,0.000113
3BmjRmFTESgWZLPSVGp8aG,160.102,audio_features,-3.324,0,0.18,0.0669,0.723,0.535,0.951,0.00777,0.0
4PkJ7c9y1CwpuVOiJODnCZ,163.118,audio_features,-5.659,0,0.0391,0.226,0.597,0.455,0.858,0.000616,0.000247
0hDQV9X1Da5JrwhK8gu86p,119.783,audio_features,-5.194,1,0.0716,0.553,0.124,0.502,0.941,0.000346,0.319
2lXJr5BkUPZpQUV2ZGN1Wv,96.652,audio_features,-6.322,0,0.209,0.131,0.853,0.832,0.699,0.202,0.0
6bUNEbXT7HovLW6BgPCBsb,108.97,audio_features,-5.653,1,0.0545,0.107,0.509,0.751,0.708,0.0482,1.85e-05
3EZzghqykkfOB0Z8d0kTSt,136.12,audio_features,-3.798,1,0.0403,0.116,0.479,0.555,0.868,0.0664,0.000117
3UygY7qW2cvG9Llkay6i1i,175.077,audio_features,-4.885,0,0.0545,0.229,0.464,0.37,0.858,0.00815,2.12e-05
420JGkyLfLUZcgBHKiIK9v,152.132,audio_features,-4.494,1,0.0262,0.189,0.215,0.446,0.657,0.0022,0.0
0l3GEbH3CviUytD6iX4wzg,92.074,audio_features,-3.977,1,0.253,0.0614,0.891,0.866,0.749,0.15,0.0
6rUp7v3l8yC4TKxAAR5Bmx,89.342,audio_features,-5.157,0,0.0421,0.139,0.453,0.498,0.83,0.00461,0.0
6pWzCKTrKrwbUPzY8RLCoP,94.998,audio_features,-3.006,0,0.0582,0.16,0.849,0.71,0.797,0.408,0.0
26AYR77170U49cMcXB7aRV,173.143,audio_features,-5.952,1,0.0917,0.529,0.622,0.411,0.962,0.103,0.0
0crJsMs5FmnMHvQG1itkc0,149.343,audio_features,-4.52,1,0.0457,0.0653,0.977,0.821,0.807,0.129,0.0
1MTQHCpraD4S8g5PAFKzoj,120.315,audio_features,-6.66,1,0.0271,0.119,0.0902,0.595,0.489,0.497,0.0
6FOpPA0a80RuBqqgDozvja,138.697,audio_features,-2.935,1,0.063,0.196,0.156,0.407,0.896,0.012,0.0
0DKNNR9iDjwfCEpMiFXMJq,92.003,audio_features,-4.591,0,0.0984,0.0504,0.534,0.597,0.931,0.127,0.0
5qHYXcVvc9xsFB2uH7GpMN,115.584,audio_features,-10.05,1,0.0346,0.137,0.927,0.682,0.635,0.00863,0.0
3arKRnq9OUd7yq6LRwVW8I,88.171,audio_features,-5.234,1,0.0269,0.107,0.656,0.663,0.546,0.0322,0.000572
4UzVcXufOhGUwF56HT7b8M,79.012,audio_features,-9.206,1,0.0356,0.134,0.101,0.19,0.265,0.863,0.0
6ihObRBTB8xdSH2mlERtOX,172.872,audio_features,-4.894,0,0.325,0.0687,0.89,0.713,0.734,0.548,0.0
0CA3RxBx2xSQXPfpmUBK1v,177.9,audio_features,-5.282,1,0.0297,0.0696,0.565,0.373,0.737,9.4e-06,0.0
2ajUl8lBLAXOXNpG4NEPMz,125.959,audio_features,-5.529,0,0.0313,0.0878,0.737,0.713,0.639,0.753,0.0
6n8TMVyFKoUmDc4apxceRD,100.021,audio_features,-5.218,0,0.0303,0.0909,0.581,0.579,0.849,0.108,0.0
3tS1VMpxp9bLn46Cyh09el,107.028,audio_features,-4.719,0,0.0366,0.376,0.425,0.585,0.881,2.27e-05,0.000939
6ft9PAgNOjmZ2kFVP7LGqb,123.821,audio_features,-7.448,1,0.0746,0.0692,0.536,0.575,0.764,0.566,1.07e-05
2WSWm0zlL3CJRACHS5KXbB,118.034,audio_features,-3.685,1,0.0836,0.538,0.715,0.756,0.811,0.0107,0.0
0yHConG49418wPs8UfAt44,182.12,audio_features,-7.886,0,0.0523,0.118,0.58,0.546,0.538,0.233,0.0
6NhpIdjYoufuNNlBsgOztc,161.992,audio_features,-3.163,1,0.0397,0.304,0.898,0.511,0.903,0.052,0.000529
