album_id,album_genres,album_release_date,album_popularity
6mIyViyBHV4eoQqI4JZByh,,1998-07-13,59
7Kusf5plZjl76X5ARWJbNO,,1998-07-20,66
3cRZJtPT7J0C8fZWJsdtFU,,1998-01-11,55
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
3leLClL6IJTf7Pez7yJKJD,,1998-06-16,51
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
1WABgS1g9NMV8cpwDS4aDY,,1998-01-01,56
5f6Nz2v1DESbpu1NerEql2,,1998-03-31,67
5iprjaDXa5reRKpCL6L99A,,1998-08-18,55
4UMjBXcRqIgMZ1XumU2x5T,,1998-09-11,77
1dWB676MYae7xa9lLTe7lS,,1998-01-01,50
2S3289mypNw2zP0OpFexMb,,1998-02-24,71
4UuS4hlOMP5akz21glTQCL,,1998-03-17,59
4VwV8hjVXteVkVNDCYPN1M,,1998-06-01,69
2I72wA4qxK4ur3biscv0hv,,1998-01-01,56
1PVtgkCZPW8AVll0gKsHDS,,1998-07-06,55
3liBiZNxZoEkcv9ooLM20i,,1998-09-29,65
6ZUZsOI1nnt0gts7ia3sH1,,1998-01-01,49
6MCNMOCRsh6nxs7PNzc0zN,,1998-05-12,68
6L5uROBQ5wy3MOPI334RHE,,1998-01-01,58
4VwV8hjVXteVkVNDCYPN1M,,1998-06-01,69
7ysKTnHt4ve0MvIWm3vPdz,,1998,58
7fgHGpxFOYzXjITOZ2e2Ht,,1998,64
2btiLFlL9jzIIHbId5cufS,,1998-01-01,50
16FPcGpqQfcvqpCLvZsWWD,,1998-09-17,51
2KVpGKVIzcK9bB13MXJGEb,,1998-01-01,58
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
3QofKE2yZcsjKOUw6fyyn3,,1998-10-13,51
00NABajpGsPCObfcl4LJsM,,1998-11-17,66
4zb4gmGzDYtlWMjmc1NZWW,,1998,55
1XoE7ZirQ3gjxq8HIzTJU9,,1998-05-21,59
3Ohs7Jo6GM6mydUOL0m5aC,,1998-01-01,66
3dNsHWAS8t7AiAqj9ofG5T,,1998-12-22,56
1w7vC8hjYXhK1fS5cM2fUM,,1998-01-01,63
0vVekV45lOaVKs6RZQQNob,,1998-02-20,62
0uKakjHwamECXOBi80uvNv,,1998-01-01,48
6CUTxBQse7shPPF33yCRd0,,1998-06-09,53
1BbK1fKw0xg1HK3G0zVNTW,,1998-07-29,63
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
