song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
7D0RhFcb3CrfPuTJ0obrod,102.617,audio_features,-10.506,1,0.0281,0.104,0.165,0.371,0.268,0.748,0.0517
3AJwUDP919kvQ9QcozQPxg,173.372,audio_features,-7.227,1,0.0281,0.234,0.285,0.429,0.661,0.00239,0.000121
3yfqSUWxFvZELEM4PmlwIR,104.504,audio_features,-4.244,0,0.0572,0.0454,0.76,0.949,0.661,0.0302,0.0
6ZOBP3NvffbU4SZcrnt1k6,99.009,audio_features,-5.708,0,0.0286,0.168,0.543,0.545,0.865,0.00664,1.1e-05
60a0Rd6pjrkxjPbaKzXjfq,105.143,audio_features,-5.87,0,0.0584,0.209,0.4,0.556,0.864,0.00958,0.0
0I3q5fE6wg7LIfHGngUTnV,94.948,audio_features,-5.946,0,0.269,0.0771,0.613,0.843,0.806,0.143,0.0
51c94ac31swyDQj9B3Lzs3,141.581,audio_features,-4.647,0,0.0854,0.118,0.179,0.269,0.853,0.000249,0.000246
3K4HG9evC7dg3N0R9cYqk4,95.136,audio_features,-4.419,1,0.0491,0.0787,0.538,0.492,0.969,0.0014,1.32e-06
3UmaczJpikHgJFyBTAJVoz,80.063,audio_features,-4.325,0,0.238,0.518,0.507,0.78,0.768,0.0371,2.34e-06
40rvBMQizxkIqnjPdEWY1v,89.954,audio_features,-4.262,0,0.0553,0.106,0.941,0.695,0.876,0.000996,6.89e-06
57BrRMwf9LrcmuOsyGilwr,105.076,audio_features,-5.565,1,0.0337,0.536,0.299,0.58,0.702,0.0466,3.2e-06
3Gf5nttwcX9aaSQXRWidEZ,101.875,audio_features,-6.49,1,0.0478,0.244,0.722,0.85,0.7,0.0616,1.8e-06
3oW6SWwGqiZSPTiAp7ZQoH,128.93,audio_features,-4.935,1,0.0265,0.264,0.542,0.595,0.653,0.246,0.0
3WkibOpDF7cQ5xntM1epyf,94.759,audio_features,-4.596,1,0.0713,0.313,0.654,0.853,0.606,0.0561,0.0
62bOmKYxYg7dhrC6gH9vFn,172.638,audio_features,-4.843,0,0.0479,0.0821,0.861,0.61,0.926,0.031,0.0012
6naxalmIoLFWR0siv8dnQQ,95.053,audio_features,-5.444,0,0.0437,0.355,0.894,0.751,0.834,0.3,1.77e-05
6glsMWIMIxQ4BedzLqGVi4,166.028,audio_features,-7.905,0,0.332,0.099,0.915,0.725,0.64,0.0281,0.0
3IV4swNduIRunHREK80owz,96.306,audio_features,-3.358,1,0.171,0.206,0.709,0.603,0.933,0.00591,0.0
1Vej0qeQ3ioKwpI6FUbRv1,150.184,audio_features,-3.994,1,0.113,0.623,0.661,0.524,0.939,0.00022,0.0
0wqOReZDnrefefEsrIGeR4,124.557,audio_features,-4.915,1,0.0357,0.0896,0.435,0.541,0.864,0.00118,0.0
4wEuNvb7oG8oZYrZPZ9rPr,119.643,audio_features,-6.552,0,0.0317,0.53,0.223,0.475,0.531,0.752,0.0634
3wMUvT6eIw2L5cZFG1yH9j,162.831,audio_features,-6.822,1,0.108,0.142,0.565,0.865,0.664,0.00689,0.0
2AW37v0bDyuOzGP3XnmFuA,165.071,audio_features,-4.672,0,0.071,0.0372,0.908,0.636,0.873,0.0407,1.27e-06
23wfXwnsPZYe5A1xXRHb3J,87.248,audio_features,-2.692,0,0.265,0.309,0.315,0.785,0.871,0.144,0.0
7FDV5ELOJHCGLe52AnttEd,170.531,audio_features,-2.939,1,0.178,0.0406,0.807,0.74,0.766,0.116,0.0
3LI4MmibTkXH5cGpCGZgyw,94.676,audio_features,-4.063,1,0.0512,0.179,0.57,0.617,0.84,0.36,8.85e-05
7pv80uUHfocFqfTytu1MVi,135.277,audio_features,-9.761,0,0.121,0.284,0.816,0.753,0.472,0.48,0.0133
3Fzlg5r1IjhLk2qRw667od,119.397,audio_features,-3.463,1,0.0348,0.347,0.867,0.632,0.856,0.0624,0.0
2gSVKxPDww9Eep5rdvtdem,97.225,audio_features,-3.981,1,0.0462,0.683,0.609,0.576,0.864,0.02,1.68e-06
587p8shYuTXUhThG3t9x60,142.975,audio_features,-5.082,1,0.0264,0.123,0.629,0.665,0.599,0.222,0.0
0v1XpBHnsbkCn7iJ9Ucr1l,119.992,audio_features,-4.063,0,0.0466,0.347,0.544,0.551,0.913,0.0263,1.35e-05
4uOKFydzAejjSFqYbv1XPt,89.119,audio_features,-8.53,1,0.0476,0.269,0.843,0.857,0.468,0.00414,1.32e-05
1VuBmEauSZywQVtqbxNqka,136.279,audio_features,-6.495,1,0.0499,0.36,0.454,0.539,0.926,0.014,0.00136
5XVjNRubJUW0iPhhSWpLCj,136.955,audio_features,-6.149,0,0.0552,0.285,0.787,0.671,0.882,0.00181,0.667
2jSJm3Gv6GLxduWLenmjKS,92.966,audio_features,-4.938,0,0.0824,0.0936,0.504,0.338,0.859,0.00122,0.211
0YWUHZPJVg4iujddsJDwhM,147.08,audio_features,-3.766,1,0.0268,0.195,0.702,0.669,0.843,0.169,0.0
4KoecuyOpZaNFZ0UqVsllc,105.014,audio_features,-4.688,1,0.0301,0.147,0.916,0.817,0.585,0.439,0.0
2avKuMN2QXkaG9vvHa2JLt,101.968,audio_features,-5.607,1,0.046,0.0935,0.512,0.425,0.852,0.0175,0.306
