artist_id,artist_genres,artist_popularity
3Ayl7mCk0nScecqOzvNp6s,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock",65
5eAWCfyUhZtHHtBdNk56l1,"alternative metal, nu metal, rap metal, rock",77
6deZN1bslXzeGvOLaLMOIF,"alternative metal, canadian rock, post-grunge",74
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70
4RddZ3iHvSpGV4dvATac9X,"alternative metal, nu metal, rap metal, rap rock, rock",69
3FUY2gzHeIiaesXtOAdB7A,"dance pop, neo mellow, pop, pop rock",70
5eAWCfyUhZtHHtBdNk56l1,"alternative metal, nu metal, rap metal, rock",77
1E4r4z7ivGUcSAnCbINJ9v,"alternative metal, industrial metal, nu metal, post-grunge, rap metal",60
5eAWCfyUhZtHHtBdNk56l1,"alternative metal, nu metal, rap metal, rock",77
43sZBwHjahUvgbx1WNIkIz,"alternative metal, nu metal, post-grunge",67
5KDIH2gF0VpelTqyQS7udb,"alternative metal, nu metal, post-grunge",62
3AA28KZvwAUcZuOKwyblJQ,"alternative hip hop, modern rock, rock",76
0qT79UgT5tY4yudH9VfsdT,"alternative metal, canadian pop punk, canadian punk, modern rock, nu metal, pop punk, post-grunge, punk, rock",69
6FBDaR13swtiWwGhX1WQsP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
0qT79UgT5tY4yudH9VfsdT,"alternative metal, canadian pop punk, canadian punk, modern rock, nu metal, pop punk, post-grunge, punk, rock",69
3ScY9CQxNLQei8Umvpx5g6,"bronx hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, trap",65
3dXaa6jwM7B52GZpaJEIr5,"alternative metal, nu metal, post-grunge",60
1XkoF8ryArs86LZvFOkbyr,"dance pop, hip pop, neo soul, r&b, urban contemporary",68
6TZdvF1kFzwnQLgHQynzsO,"alternative metal, funk metal, nu metal, post-grunge",56
0epOFNiUfyON9EYx7Tpr6V,"alternative rock, garage rock, modern rock, permanent wave, rock",73
4LG4Bs1Gadht7TCrMytQUO,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, stomp and holler",60
6wH6iStAh4KIaWfuhf0NYM,"latin alternative, world",67
0epOFNiUfyON9EYx7Tpr6V,"alternative rock, garage rock, modern rock, permanent wave, rock",73
3dXaa6jwM7B52GZpaJEIr5,"alternative metal, nu metal, post-grunge",60
4Icvbp9RDt5aY2TWDOVDsr,comedy rap,56
4F84IBURUo98rz4r61KF70,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",68
4d3yvTptO48nOYTPBcPFZC,"contemporary r&b, dance pop, hip pop, philly rap, r&b, urban contemporary",64
43sZBwHjahUvgbx1WNIkIz,"alternative metal, nu metal, post-grunge",67
5S6hjAxgxjsLylsTtMIimO,"alternative metal, nu metal, rap metal",56
23zg3TcAtWQy7J6upgbUnj,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",78
3YcBF2ttyueytpXtEzn1Za,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock",66
3Ayl7mCk0nScecqOzvNp6s,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock",65
4RVnAU35WRWra6OZ3CbbMA,"australian dance, australian pop, dance pop, eurodance, new wave pop",70
0AkpPlFLnr0VQwZQeMGht0,"disco house, filter house",57
4tZwfgrHOc3mvqYlEYSvVi,"electro, filter house, rock",78
6APm8EjxOHSYM5B4i3vT3q,"ccm, christian alternative rock, christian indie, christian music",61
7dOBabd5O4CvKrg4iriHTM,nu metal,63
2yEwvVSSSUkcLeSTNyHKh8,"alternative metal, art rock, nu metal, post-grunge, progressive metal, progressive rock, rock",68
3DiDSECUqqY1AuBP8qtaIa,"neo soul, pop, r&b",75
0hEurMDQu99nJRq8pTxO14,"neo mellow, singer-songwriter",74
23zg3TcAtWQy7J6upgbUnj,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",78
5aMmmNxw4vgpc5XC6hK0zp,"neo mellow, pop rock",59
6FBDaR13swtiWwGhX1WQsP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
0urTpYCsixqZwgNTkPJOJ4,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",65
7r8RF1tN2A4CiGEplkp1oP,"contemporary r&b, hip pop, r&b, urban contemporary",62
6wWVKhxIU2cEi0K81v7HvP,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte",76
0EmeFodog0BfCgMzAIvKQp,"colombian pop, dance pop, latin pop, pop",84
4kKaAWGdu6WW0W415RWaQA,"chicano rap, latin hip hop, texas latin rap",59
1UTPBmNbXNTittyMJrNkvw,"classic oklahoma country, contemporary country, country, country road, modern country rock",68
41Q0HrwWBtuUkJc7C1Rp6K,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",58
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70
2MqhkhX4npxDZ62ObR5ELO,"alternative metal, funk metal, nu metal, pop rock, post-grunge",64
6kBDZFXuLrZgHnvmPu9NsG,"ambient, braindance, electronica, intelligent dance music, uk experimental electronic",62
2wIVse2owClT7go1WT98tk,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",69
1Y8cdNmUJH7yBTd9yOvr5i,"dance pop, girl group, pop, r&b, urban contemporary",69
77tT1kLj6mCWtFNqiOmP9H,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",71
4F84IBURUo98rz4r61KF70,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",68
1KCSPY1glIKqW2TotWuXOR,"dance pop, pop",78
3hYtANQYrE6pd2PbtEyTIy,"musica mexicana, norteno, ranchera",73
4ogvuDRerGhZfSf7TtzHlr,hawaiian,58
6KO6G41BBLTDNYOLefWTMU,"alternative metal, funk metal, nu metal, rap metal, rap rock",59
4kKaAWGdu6WW0W415RWaQA,"chicano rap, latin hip hop, texas latin rap",59
26dSoYclwsYLMAKD3tpOr4,"dance pop, pop",78
5KDIH2gF0VpelTqyQS7udb,"alternative metal, nu metal, post-grunge",62
3fMbdgg4jU18AjLCKBhRSm,"r&b, soul",80
3dXaa6jwM7B52GZpaJEIr5,"alternative metal, nu metal, post-grunge",60
3Ayl7mCk0nScecqOzvNp6s,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock",65
3mSAqBoXQgdlpwzWsIgBzL,bakersfield sound,48
6A43Djmhbe9100UwnI7epV,"alternative rock, pop rock, post-grunge, sacramento indie",59
4tZwfgrHOc3mvqYlEYSvVi,"electro, filter house, rock",78
13YmWQJFwgZrd4bf5IjMY4,"contemporary country, country, country road",62
0XKOBt59crntr7HQXXO8Yz,"contemporary country, country, country road",67
16kOCiqZ1auY4sokSeZuKf,"grupera, gruperas inmortales, musica mexicana",72
7Aq8lpLMSt1Zxu56pe9bmp,"atl hip hop, contemporary r&b, r&b, urban contemporary",59
1UTPBmNbXNTittyMJrNkvw,"classic oklahoma country, contemporary country, country, country road, modern country rock",68
5v8jlSmAQfrkTjAlpUfWtu,"adult standards, easy listening",62
0urTpYCsixqZwgNTkPJOJ4,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",65
5rScKX1Sh1U67meeUyTGwk,"candy pop, lilith, neo mellow, pop rock",54
0rvjqX7ttXeg3mTy8Xscbt,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, soft rock",71
1E4r4z7ivGUcSAnCbINJ9v,"alternative metal, industrial metal, nu metal, post-grunge, rap metal",60
6vytZ677lz4LzCrUDcDokM,"hip pop, urban contemporary",55
0fauHpmSHwodVYIjTqOGHz,"korean instrumental, neo-classical, new age piano",63
3HVdAiMNjYrQIKlOGxoGh5,"alternative metal, hard rock, industrial metal, industrial rock, nu metal, post-grunge, rock",65
0epOFNiUfyON9EYx7Tpr6V,"alternative rock, garage rock, modern rock, permanent wave, rock",73
1YfEcTuGvBQ8xSD1f53UnK,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",69
3mC1KCuZZSOlN8Z0M56VsV,northern soul,47
5KDIH2gF0VpelTqyQS7udb,"alternative metal, nu metal, post-grunge",62
5eAWCfyUhZtHHtBdNk56l1,"alternative metal, nu metal, rap metal, rock",77
40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",70
08Ld63UgKrJ0nZnCkzHtzc,"crunk, dirty south rap, gangster rap, memphis hip hop, trap",65
2DlGxzQSjYe5N6G9nkYghR,"dance pop, pop, urban contemporary",72
05fG473iIaoy82BF1aGhL8,"alternative metal, nu metal, rap metal, rock",75
23zg3TcAtWQy7J6upgbUnj,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",78
2iEvnFsWxR0Syqu2JNopAd,"pop rock, post-grunge",63
6FBDaR13swtiWwGhX1WQsP,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
6KO6G41BBLTDNYOLefWTMU,"alternative metal, funk metal, nu metal, rap metal, rap rock",59
1Y8cdNmUJH7yBTd9yOvr5i,"dance pop, girl group, pop, r&b, urban contemporary",69
5Qi4Bb7a8C0a00NZcA77L0,"detroit hip hop, gangster rap, hip hop",62
0hEurMDQu99nJRq8pTxO14,"neo mellow, singer-songwriter",74
1l7ZsJRRS8wlW3WfJfPfNS,"dance pop, pop",75
5eAWCfyUhZtHHtBdNk56l1,"alternative metal, nu metal, rap metal, rock",77
0epOFNiUfyON9EYx7Tpr6V,"alternative rock, garage rock, modern rock, permanent wave, rock",73
3fMbdgg4jU18AjLCKBhRSm,"r&b, soul",80
7urq0VfqxEYEEiZUkebXT4,"atl hip hop, boy band, contemporary r&b, hip pop, r&b, urban contemporary",63
43mhFhQ4JAknA7Ik1bOZuV,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock",61
16kOCiqZ1auY4sokSeZuKf,"grupera, gruperas inmortales, musica mexicana",72
2bA6fzP0lMAQ4kz6CF61w8,"classic oklahoma country, contemporary country, country, country road",66
16kOCiqZ1auY4sokSeZuKf,"grupera, gruperas inmortales, musica mexicana",72
4tZwfgrHOc3mvqYlEYSvVi,"electro, filter house, rock",78
