song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
6GG73Jik4jUlQCkKg9JuGO,162.152,audio_features,-5.428,1,0.0526,0.058,0.903,0.643,0.849,0.0371,0.0
2DlHlPMa4M17kufBvI2lEN,127.066,audio_features,-3.908,0,0.119,0.132,0.287,0.417,0.934,0.000278,0.0015
0gmbgwZ8iqyMPmXefof8Yf,172.094,audio_features,-5.042,1,0.033,0.099,0.543,0.446,0.764,0.00135,0.0
2MLHyLy5z5l5YRp7momlgw,114.623,audio_features,-6.26,0,0.0288,0.165,0.661,0.654,0.81,0.00719,0.00251
5W8YXBz9MTIDyrpYaCg2Ky,90.598,audio_features,-3.719,0,0.0603,0.201,0.692,0.589,0.89,0.000481,0.00082
2hKdd3qO7cWr2Jo0Bcs0MA,79.064,audio_features,-5.862,1,0.0276,0.154,0.497,0.481,0.638,0.153,0.0
0snQkGI5qnAmohLE7jTsTn,116.68,audio_features,-4.151,1,0.0536,0.204,0.48,0.413,0.873,0.000264,0.00249
7CpbhqKUedOIrcvc94p60Y,130.936,audio_features,-3.405,0,0.0708,0.144,0.544,0.656,0.932,0.00347,0.00147
4e9eGQYsOiBcftrWXwsVco,79.342,audio_features,-4.217,0,0.0567,0.0697,0.227,0.364,0.922,0.000915,0.0346
42T2QQv3xgBlpQxaSP7lnK,126.602,audio_features,-5.83,1,0.0346,0.341,0.195,0.386,0.677,0.00841,0.00366
25CMmGsl22APKhfuj4Tp7j,116.529,audio_features,-4.054,1,0.0338,0.143,0.0824,0.509,0.774,0.00189,0.000549
7yMiX7n9SBvadzox8T5jzT,167.953,audio_features,-8.627,0,0.171,0.0698,0.525,0.663,0.694,0.0253,0.0
1HNE2PX70ztbEl6MLxrpNL,116.046,audio_features,-5.875,1,0.0505,0.0607,0.766,0.568,0.844,0.000189,0.0
1fJFuvU2ldmeAm5nFIHcPP,95.594,audio_features,-4.344,1,0.0411,0.18,0.882,0.579,0.928,0.000715,0.0
4KacUpvbA3Mfo05gttTjhN,196.505,audio_features,-5.215,1,0.142,0.065,0.626,0.402,0.914,0.000579,0.0
2mKouqwAIdQnMP43zxR89r,93.955,audio_features,-5.074,1,0.0598,0.108,0.919,0.835,0.707,0.0219,2.19e-05
16DhvbuyvJob4Q9GHNYu2n,109.781,audio_features,-5.433,1,0.0323,0.753,0.584,0.58,0.748,0.00935,0.0
3aw9iWUQ3VrPQltgwvN9Xu,92.887,audio_features,-3.75,0,0.0449,0.0863,0.969,0.911,0.551,0.132,4.12e-05
5z6xHjCZr7a7AIcy8sPBKy,126.928,audio_features,-4.261,0,0.0582,0.144,0.87,0.653,0.964,0.00316,0.00512
7hm4HTk9encxT0LYC0J6oI,106.035,audio_features,-7.46,1,0.0299,0.367,0.679,0.539,0.521,0.00425,0.0
0NslHuacjxQYfUTOW3HCIV,129.984,audio_features,-10.623,1,0.031,0.0858,0.622,0.67,0.403,0.753,0.0903
6b37xrsNCWYIUphFBazqD6,175.949,audio_features,-6.822,0,0.0825,0.222,0.908,0.657,0.741,0.663,0.494
3SUusuA9jH1v6PVwtYMbdv,104.061,audio_features,-5.709,1,0.0296,0.0975,0.79,0.624,0.899,0.0221,0.000137
6lSr3iZTC144PKhvbPFzMp,157.462,audio_features,-4.507,0,0.0542,0.138,0.523,0.431,0.938,0.00805,0.0
1ACZpHI5vZ5Ea4xGlkdGWM,99.053,audio_features,-7.797,1,0.382,0.132,0.576,0.927,0.367,0.325,0.0
21Qsj3cMVCx2xF2EVVNbEu,95.754,audio_features,-1.574,0,0.112,0.941,0.299,0.356,0.982,0.713,0.00145
3RmKpob8xzv1pzHEQrMJah,90.032,audio_features,-4.243,0,0.107,0.0709,0.897,0.908,0.557,0.242,0.0
2VSbEXqs6NbNiZSTcHlIDR,146.349,audio_features,-6.035,1,0.0504,0.076,0.257,0.32,0.88,0.000101,4.31e-06
2CGDxXXYbkPOyRXHzQbqkT,95.957,audio_features,-2.941,1,0.0479,0.188,0.498,0.609,0.935,0.0029,0.000359
7J41dYQolQJEtj3UmKLu5r,124.037,audio_features,-4.551,1,0.03,0.0733,0.649,0.816,0.5,0.0227,1.53e-06
6KtLECDztnah63TNmV4Plw,169.873,audio_features,-7.48,1,0.0387,0.102,0.35,0.246,0.768,0.000631,0.301
429IbFR4yp2J81CeTwF5iY,135.331,audio_features,-4.436,1,0.038,0.26,0.597,0.487,0.898,0.00305,0.0
3E7ZwUMJFqpsDOJzEkBrQ7,126.007,audio_features,-7.516,0,0.0339,0.115,0.964,0.766,0.563,0.0263,0.683
49X0LAl6faAusYq02PRAY6,126.041,audio_features,-5.627,1,0.0379,0.0634,0.869,0.72,0.808,0.00793,0.0293
0DiWol3AO6WpXZgp0goxAV,122.746,audio_features,-8.618,1,0.133,0.332,0.476,0.613,0.697,0.0194,0.0
1G5S1rEr4L57ftizRHcYDP,159.685,audio_features,-5.359,1,0.048,0.0914,0.135,0.42,0.612,0.0917,0.0
69j0KoPJuwpnbGWrfn7Yll,97.945,audio_features,-7.332,1,0.0241,0.107,0.376,0.692,0.496,0.172,6.42e-06
