album_id,album_genres,album_release_date,album_popularity
6PBZN8cbwkqm1ERj2BGXJ1,,2012,75
2B4y3j02ho6XNF8BEzx3JF,,2012-01-01,77
58ufpQsJ1DS5kq4hhzQDiI,,2012-12-07,85
58ufpQsJ1DS5kq4hhzQDiI,,2012-12-07,85
392p3shh2jkxUxY2VHvlH8,,2012-07-10,83
392p3shh2jkxUxY2VHvlH8,,2012-07-10,83
2XgBQwGRxr4P7cHLDYiqrO,,2012-10-16,75
0uRFz92JmjwDbZbB7hEBIr,,2012-01-01,70
6NWYmlHxAME5KXtxrTlUxW,,2012-04-03,74
6htgf3qv7vGcsdxLCDxKp8,,2012-09-04,71
5IenxFp0vpnXBUxPcwJtbE,,2012,72
392p3shh2jkxUxY2VHvlH8,,2012-07-10,83
6NWYmlHxAME5KXtxrTlUxW,,2012-04-03,74
2XPrwlaAHHXnJzP9tBcIzH,,2012-01-01,70
1i8WVUZhMVNurF8rmlMeSH,,2012-11-05,74
661Hz0qJK8WIp7vAWsqKvk,,2012-07-17,75
2F7tejLHzTqFq2XLol9ZGy,,2012,76
0zhZDmHEtDtok393SbZ3d7,,2012-10-26,66
52ukyDfkPmF4X6EcSYVfVJ,,2012-08-28,67
0Dt3FbpMQwjoT5KNAw0IXR,,2012-01-01,77
29blfJv8AddJrjuG3DpE13,,2012-01-01,64
0T23GvNaBUGtMKxZko8LQG,,2012-01-01,69
5QWHes9ODwn42DHTifGkXd,,2012-10-09,79
6htgf3qv7vGcsdxLCDxKp8,,2012-09-04,71
3DGQ1iZ9XKUQxAUWjfC34w,,2012,74
7iycyHwOW2plljYIK6I1Zo,,2012-02-21,68
6cunQQ7YZisYOoiFu2ywIq,,2012-05-25,78
4eddbruVtOqw8khwxSH6H2,,2012-12-11,70
2B4y3j02ho6XNF8BEzx3JF,,2012-01-01,77
1i8WVUZhMVNurF8rmlMeSH,,2012-11-05,74
5uRI7KHcBALPpwhAB9RKnb,,2012-10-23,68
0Dt3FbpMQwjoT5KNAw0IXR,,2012-01-01,77
6PBZN8cbwkqm1ERj2BGXJ1,,2012,75
392p3shh2jkxUxY2VHvlH8,,2012-07-10,83
392p3shh2jkxUxY2VHvlH8,,2012-07-10,83
0T23GvNaBUGtMKxZko8LQG,,2012-01-01,69
6k3vC8nep1BfqAIJ81L6OL,,2012-09-18,67
5cxMa6oLINJzmZ8lF7wWQN,,2012-01-01,75
4p9dVvZDaZliSjTCbFRhJy,,2012-01-01,73
5ZQB1ZQ2Yx9YT3nZlR2Pgu,,2012-11-30,70
7w19PFbxAjwZ7UVNp9z0uT,,2012-10-29,77
58ufpQsJ1DS5kq4hhzQDiI,,2012-12-07,85
2Q9oTK48eb85waX1fFJsvj,,2012-09-18,77
6NWYmlHxAME5KXtxrTlUxW,,2012-04-03,74
5MH765pytbQasmDxXArTah,,2012-01-01,66
21XMv0TCsnhWPt7MNVvkzD,,2012-09-28,64
2XgBQwGRxr4P7cHLDYiqrO,,2012-10-16,75
6TwN6Lq9glwnG8kNp6chHY,,2012-10-04,74
7eLwoxxWs6lfkVYJGkGNbk,,2012-06-22,77
2B4y3j02ho6XNF8BEzx3JF,,2012-01-01,77
76FXHQhTuT4QMIxfL09gX8,,2012-10-09,72
0Dt3FbpMQwjoT5KNAw0IXR,,2012-01-01,77
49kf7gWWtReFwPcCNsvyUf,,2012-04-30,74
2F7tejLHzTqFq2XLol9ZGy,,2012,76
63eaHsLLsW1e5ISNf7ISZy,,2012-09-10,60
5zseibu9WEsPaZmkJUMkz1,,2012-04-17,71
1i8WVUZhMVNurF8rmlMeSH,,2012-11-05,74
