artist_id,artist_genres,artist_popularity
3y24n3XhZ96wgwRXjvS17T,"g funk, gangster rap, hip hop, west coast rap",66
40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",70
4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77
5vngPClqofybhPERIqQMYd,"contemporary country, country, country road",69
40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",70
2DaxqgrOhkeH0fpeiQq2f4,"beatlesque, britpop, madchester, permanent wave, rock",74
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78
6O2zJ0tId7g07yzHtX0yap,"east coast hip hop, hardcore hip hop, hip hop, queens hip hop",64
0cQbJU1aAzvbEmTuljWLlF,"dance pop, dance rock, permanent wave, pop rock, rock",65
3z3g65U7mmyyBmmDfsQK9x,"g funk, oakland hip hop, west coast rap",55
694QW15WkebjcrWgQHzRYF,"alternative metal, alternative rock, nu metal, permanent wave, pop rock, post-grunge",55
0cQbJU1aAzvbEmTuljWLlF,"dance pop, dance rock, permanent wave, pop rock, rock",65
4Z8W4fKeB5YxbusRsdQVPb,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",78
4Z8W4fKeB5YxbusRsdQVPb,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",78
7mPcfx7PhnBh6n4HMCd61A,"contemporary country, country, country road",56
5e4Dhzv426EvQe3aDb64jL,"canadian country, canadian pop, contemporary country, country, country dawn",70
6roFdX1y5BYSbp60OTJWMd,"contemporary country, country, country road",68
4EEZg8R3dxbTCCQ1DVWtHg,"banda, grupera, musica mexicana, norteno, tejano",61
4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77
1lZvg4fNAqHoj6I9N8naBM,"alternative rock, grunge, pop rock",55
40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",70
7oPgCQqMMXEXrNau5vxYZP,"folk, lilith, singer-songwriter, women's music",67
0iVrCROxeyon7MZUW3MfzT,"contemporary r&b, hip pop, new jack swing, r&b, urban contemporary",55
5spEJXLwD1sKUdC2bnOHPg,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap",63
296LotOmbj7eOX7r9l46fK,"boy band, contemporary r&b, new jack swing, r&b",51
5spEJXLwD1sKUdC2bnOHPg,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap",63
6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",77
1ZwdS5xdxEREPySFridCfh,"g funk, gangster rap, hip hop, rap, west coast rap",77
6Ghvu1VvMGScGpOUJBAHNH,"alternative metal, nu metal, rap metal, rock, sacramento indie",75
3HQyFCFFfJO3KKBlUfZsyW,"movie tunes, singer-songwriter",57
55Pp4Ns5VfTSFsBraW7MQy,west coast rap,49
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67
2sil8z5kiy4r76CRTXxBCA,"neo mellow, permanent wave, pop rock, post-grunge",69
3r0OeTcOw37N9juMYyyw39,"dirty south rap, east coast hip hop",50
3NZE8jDD2cCzd4vUyZ5CQQ,"glam rock, pop rock, post-grunge",48
50NoVNy9GU1lCrDV8iGpyu,"east coast hip hop, hardcore hip hop, hip hop",62
1lZvg4fNAqHoj6I9N8naBM,"alternative rock, grunge, pop rock",55
2DaxqgrOhkeH0fpeiQq2f4,"beatlesque, britpop, madchester, permanent wave, rock",74
4Z8W4fKeB5YxbusRsdQVPb,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",78
7opRqRgF9lvnVraBFCMvIj,"contemporary r&b, new jack swing",46
2VYQTNDsvvKN9wmU5W7xpj,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",67
44NX2ffIYHr6D4n7RaZF7A,"classic rock, folk, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",69
014WIDx7H4BRCHB1faiisK,"banda, corrido, musica bajacaliforniana, musica mexicana, norteno",73
2zsLaQhHFdQPdFXqG1nRmM,"alternative metal, post-grunge",45
6ogn9necmbUdCppmNnGOdi,"canadian pop, canadian singer-songwriter, lilith, neo mellow, pop rock, singer-songwriter",65
5N5RfI8FFXk4WQ8kkjE407,pop rock,51
4R4Y06WNH0YEMcugwoGPPj,,46
6ogn9necmbUdCppmNnGOdi,"canadian pop, canadian singer-songwriter, lilith, neo mellow, pop rock, singer-songwriter",65
4Otx4bRLSfpah5kX8hdgDC,"east coast hip hop, hip hop, new jersey rap",55
40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",70
6O2zJ0tId7g07yzHtX0yap,"east coast hip hop, hardcore hip hop, hip hop, queens hip hop",64
6ogn9necmbUdCppmNnGOdi,"canadian pop, canadian singer-songwriter, lilith, neo mellow, pop rock, singer-songwriter",65
