album_id,album_genres,album_release_date,album_popularity
0BJYNipGyMrw4ngKDJXzXZ,,1995-11-07,76
55RhFRyQFihIyGf61MgcfV,,1995,75
1ibYM4abQtSVQFQWvDSo4J,,1995-10-03,73
2j7URVIN8GPGqzb8xi2hYW,,1995-09-12,64
55RhFRyQFihIyGf61MgcfV,,1995,75
6tOe4eAF8xNhEkl9WyvsE4,,1995,74
7d3nOmFvL51roNElAdpi9d,,1995-10-10,65
1cCAb1vN8uUsdfEylVmTLs,,1995-04-25,71
3VekjWskUut57hx6W9wqL8,,1995-10-10,73
5pMShIZc6oWiEtcQvXsKfb,,1995-07-04,65
27qNa5ef0TpYV17dBY01U0,,1995-05-11,61
3VekjWskUut57hx6W9wqL8,,1995-10-10,73
35UJLpClj5EDrhpNIi4DFg,,1995-03-13,77
35UJLpClj5EDrhpNIi4DFg,,1995-03-13,77
5UPjyfi3zD7Oak7frjH8zk,,1995-03-17,61
3wDeIA9tJU0uNlsroUdcYK,,1995-01-01,65
6l9E1hjtJqivhVIageAWM8,,1995-08-15,61
2BCS2taG5BuYeL3QPCbcz2,,1995-01-01,66
1ibYM4abQtSVQFQWvDSo4J,,1995-10-03,73
7qh8188T5LB7bdCBlk6SO1,,1995-01-01,66
55RhFRyQFihIyGf61MgcfV,,1995,75
3XsOzkIBoHsxZ7jP3QF2oB,,1995-10-31,64
4GZFWGyRE8SfRw8wEu3WoL,,1995-01-01,57
3r25XjxAmLMOhOWoV6X8N9,,1995-07-25,67
0GmC4fd7RwxsFoo5Ht4nKp,,1995,61
3r25XjxAmLMOhOWoV6X8N9,,1995-07-25,67
28jbQJCBOGrZHnrkTb6uw5,,1995-04-11,58
3OrucS4sHv6Bl9GS4rafEk,,1995-03-14,68
30YN03R4Bjl8Qwz8wPRoXG,,1995-09-29,67
47OFnLtLVi5WrPYNXAwFGh,,1995-01-01,62
34hLOvajp6WQOGlt6CNLSA,,1995-09-02,55
2IevUWpkZ9KUcr6ZhtklE0,,1995,65
1JjGR7DtSA3aRpG99KbhxJ,,1995-03-10,58
02GVhWjMuoQBQUtNhjWsnG,,1995-08-15,55
6vOmA5zWeFeKvuRBxaO59A,,1995,59
4tI4WJdTN5MzDMRMl2i7VR,,1995,61
7qh8188T5LB7bdCBlk6SO1,,1995-01-01,66
2u30gztZTylY4RG7IvfXs8,,1995-10-02,67
35UJLpClj5EDrhpNIi4DFg,,1995-03-13,77
