album_id,album_genres,album_release_date,album_popularity
3yoNZlqerJnsnMN5EDwwBS,,2015-04-07,73
194CqC2Zi0kUFEPWedb3qr,,2015-08-28,72
6eZdwrhB97A3EYx9QppGfl,,2015-10-02,81
7lxHnls3yQNl8B9bILmHj7,,2015-05-04,78
33jE0rzk63VdTJcDukmjRa,,2015-02-15,72
48dH5WaD1L379zPQt6LMDD,,2015,74
0P3oVJBFOv3TDXlYRhGL7s,,2015-08-28,85
79dL7FLiJFOO0EoehUHQBv,,2015-07-17,83
18iFxjZugvKhuNNMbLjZJF,,2015-10-30,80
2F66LRNUc5LQRC9qEVhfeu,,2015-08-24,69
6eZdwrhB97A3EYx9QppGfl,,2015-10-02,81
7zlf5gmgcFBUSLZpVsh9EE,,2015-10-15,72
2VrpzWjnsiELWKXOJAFhme,,2015-09-21,72
7ycBtnsMtyVbbwTfJwRjSP,,2015-03-16,77
12RWpV5WUjYo4SisuFWMNK,,2015-11-20,71
1vWOYk3hF5bgVUUUaPvYLh,,2015-07-24,73
4PWBTB6NYSKQwfo79I3prg,,2015-09-04,79
6f5gAJpM85TE6aQ81h46T5,,2015-02-04,73
3cQO7jp5S9qLBoIVtbkSM1,,2015-05-15,83
6eZdwrhB97A3EYx9QppGfl,,2015-10-02,81
17l7MIu0Jh0tdgK7or9ovw,,2015-10-16,75
2Tyx5dLhHYkx6zeAdVaTzN,,2015-09-18,72
79dL7FLiJFOO0EoehUHQBv,,2015-07-17,83
6eZdwrhB97A3EYx9QppGfl,,2015-10-02,81
1p8YahLiju8skFYWBJTEOl,,2015-09-15,68
0P3oVJBFOv3TDXlYRhGL7s,,2015-08-28,85
0wfne2JijoxJm0qzJd3V5h,,2015-01-11,71
12YTH28wiBXQ16gvWOCMLU,,2015-11-13,64
6eDx949ONWDCN0O22wFZf7,,2015-01-06,75
4ykbJPI8MPscFzROE8dqLy,,2015-01-01,68
6kV0NSYFjIMVgkhWRDI0bS,,2015-06-02,70
7DMyQuDPe8xzjC0UDSDa96,,2015-12-04,73
0ptlfJfwGTy0Yvrk14JK1I,,2015-02-12,76
7lxHnls3yQNl8B9bILmHj7,,2015-05-04,78
5QvM8XR1GooXrA7TgIr6Ok,,2015-08-01,67
1j2x7FJXTgUT0X5hZ8TDXE,,2015-02-24,71
3vLaOYCNCzngDf8QdBg2V1,,2015-01-12,74
2gKQvajkEEaDtkqJ8FJ4uw,,2015-09-25,71
022DrG7Wp2PSCwzuD0bSzT,,2015-01-20,75
3cQO7jp5S9qLBoIVtbkSM1,,2015-05-15,83
79dL7FLiJFOO0EoehUHQBv,,2015-07-17,83
0P3oVJBFOv3TDXlYRhGL7s,,2015-08-28,85
6sUOosXuYt0oUeczJRbedZ,,2015-04-14,72
6Fr2rQkZ383FcMqFyT7yPr,,2015-11-13,83
0P3oVJBFOv3TDXlYRhGL7s,,2015-08-28,85
6eDx949ONWDCN0O22wFZf7,,2015-01-06,75
