song_id,song_name,song_duration,song_popularity,artist_id,album_id
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),227195,93,40ZNYROS4zLfyyBSs2PGe2,6PbnGueEO6LGodPfvNldYf
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,137773,97,2uYWxilOVlUdk4oV9DvwqK,2Cn1d2KgbkAqbZCJ1RzdkA
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),260111,94,3TVXtAsR1Inumwj472S9r4,4czdORdCWP9umpbhFXK2fW
4rXLjWdF2ZZpXCVTfWcshS,fukumean,125040,94,2hlmm7s2ICUX0LVIhVFlZQ,5qmZefgh78fN3jsyPPlvuw
3rUGC1vUpkDG9CZFHMur1t,greedy,131872,100,45dkTj5sMRSjrmBSBeiHym,3UOV8XvCwMKaATRNXrYCjN
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),229477,94,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
4MjDJD8cW7iVeWInc2Bdyj,MONACO,267194,98,4q3ewBCX7sLwd24euuV69X,4FftCsAcXXD1nFO9RFUNFO
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,231750,97,5cj0lLjcoR7YOSnhnX0Po5,54dZypaXHAIDzBe9ujAZ63
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),247444,91,3TVXtAsR1Inumwj472S9r4,4czdORdCWP9umpbhFXK2fW
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,211582,92,0Y5tJX1MQlPlqiwlOH1tJY,18NOKLkZETa4sWwLMIm0UZ
1kuGVB7EU95pJObxwvfwKS,vampire,219724,95,1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),146436,92,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
7dJYggqjKo71KI9sLzqCs8,Agora Hills,265360,92,5cj0lLjcoR7YOSnhnX0Po5,6DmPNcfpkXBVRJsEIJY9tl
5mjYQaktjmjcMKcUIcqz4s,Strangers,172964,98,7uMDnSZyUYNBPLhPMNuaM2,18ogtNq9F7DmMkNYO6Xb4k
3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,184783,92,1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",180381,91,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,177387,86,4oUHIQIBe0LHzYfvXNW4QM,6i7mF7whyRJuLJ4ogbH2wh
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,265493,89,718COspgdWOnwOFpJHRZHS,5Uly85dJHHDfHQCsyUQ8gw
7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,212878,94,12GqGscKJx3aE4t07u7eVZ,4jox3ip1I39DFC2B7R5qLH
5aIVCx5tnk0ntmdiinnYvw,Water,200255,96,3SozjO3Lat463tQICI9LcE,22sXXkKgjEuawIFL1e1tRw
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,95,6qqNVTkY8uBg9cP3Jd7DAH,3AafSrFIbJPH6BJHiJm1Cd
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),227466,86,40ZNYROS4zLfyyBSs2PGe2,6PbnGueEO6LGodPfvNldYf
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,162767,97,4q3ewBCX7sLwd24euuV69X,4FftCsAcXXD1nFO9RFUNFO
4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault),279833,90,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,212241,94,1oSPZhvZMIrWW5I41kPkkY,4xc3Lc9yASZgEJGH7acWMB
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),246133,89,0Y5tJX1MQlPlqiwlOH1tJY,18NOKLkZETa4sWwLMIm0UZ
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),319191,88,3TVXtAsR1Inumwj472S9r4,4czdORdCWP9umpbhFXK2fW
7K3BhSpAxZBznislvUMVtn,Last Night,163854,86,4oUHIQIBe0LHzYfvXNW4QM,6i7mF7whyRJuLJ4ogbH2wh
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,251094,87,3TVXtAsR1Inumwj472S9r4,4czdORdCWP9umpbhFXK2fW
2gyxAWHebV7xPYVxqoi86f,get him back!,211141,90,1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),235800,87,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
78Du4CMFgnhdlG33gblkiP,Rich Men North of Richmond,187244,86,6IkfE2JyVoKwBZXvuytKX3,02X1cQOUcwYPxgFfqHeitI
6IG3sQ8s9nfk6TUlVzRhbN,Is It Over Now? (Taylor's Version) (From The Vault),229477,87,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),353754,88,0Y5tJX1MQlPlqiwlOH1tJY,18NOKLkZETa4sWwLMIm0UZ
1xWkeSPhf3bZqHY7Ncz8vp,500lbs,144390,85,4Ga1P7PMIsmqEZqhYZQgDo,2Ro9gydgq5JWy7b22zPty9
1odExI7RdWc4BT515LTAwj,Daylight,212953,95,33NVpKoXjItPwUJTMZIOiY,6NcI39WPu4kY6Tul11nhSv
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,176579,94,6M2wZ9GZgrQXHCFfjv46we,5cH7FqB7JD5q1tJXJ7FHYu
5W4kiM2cUYBJXKRudNyxjW,You Proof,157477,84,4oUHIQIBe0LHzYfvXNW4QM,6i7mF7whyRJuLJ4ogbH2wh
59uQI0PADDKeE6UZDTJEe8,Last Night,163854,86,4oUHIQIBe0LHzYfvXNW4QM,7fOmdhRrRohTzToL617xkk
3nNmRE0DxHC6ZaKkrpUumS,FINA,216327,92,4q3ewBCX7sLwd24euuV69X,4FftCsAcXXD1nFO9RFUNFO
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),191700,89,0Y5tJX1MQlPlqiwlOH1tJY,18NOKLkZETa4sWwLMIm0UZ
3EvZ03hGAFwGZ2Ebcu86YH,Tourniquet,189053,84,40ZNYROS4zLfyyBSs2PGe2,6PbnGueEO6LGodPfvNldYf
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,206019,96,6HaGTQPmzraVmaVxvz6EUc,5pSk3c3wVwnb2arb6ohCPU
6RcAHyC5sAUIbPTkhOQwd8,Y LLORO,179013,91,7Gi6gjaWy3DxyilpF1a8Is,7Lv6VzSqIz1sAssK2JUskG
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,191466,94,6dLuQ5qXxIuWc5urxfIiZR,4x6cjOcVz44aiLSOHCLKPd
1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),231000,90,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),213817,86,2RQXRUsr4IW1f3mKyKsy4B,4XahqkOmEsKLKEhBpX8DAe
34sOdxWu9FljH84UXdRwu1,all-american bitch,165833,87,1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
6T0sEnqjmHISIKwFETeeiP,Suburban Legends (Taylor's Version) (From The Vault),171818,87,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],109750,89,0hCNtLu0JehylgoiP8L4Gh,5CM66hwjlbZ06LhONWXOAs
7ABLbnD53cQK00mhcaOUVG,LALA,197920,96,7iK8PXO48WeuP03g8YR51W,3puAvurwvtvi1rodndIPW8
42TtHTxWk782ZBiqyOi2d1,Dawns (feat. Maggie Rogers),290892,84,40ZNYROS4zLfyyBSs2PGe2,2Wpz5Xzsbr7hJg5Wb13p4m
5QUIK7ZtziW8kGWo8RqopF,Now That We Don't Talk (Taylor's Version) (From The Vault),146436,86,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),184400,95,6HaGTQPmzraVmaVxvz6EUc,53985D8g3JcGBoULSOYYKX
2c7sRekhMGlj7u1WIIzoQu,Fighting My Demons,150401,84,3gBZUcNeVumkeeJ19CY2sX,0HS8aknH0JQdMIiBVhyOCW
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),231833,89,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
5JYPXqMwYc0zTODQdjMEZN,Deli,126857,84,3LZZPxNDGDFVSIPqf4JuEf,2pD2Hn4NPvf58NDSdWmUAk
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,131013,88,78rUTD7y6Cy67W1RVzYs7t,6cVfHBcp3AdpYY0bBglkLN
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,272112,84,3TVXtAsR1Inumwj472S9r4,67WUCOjyl44d8fAFzHONjW
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),201812,93,6HaGTQPmzraVmaVxvz6EUc,4DKnznk5VbGVvAOYBbQrZJ
2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,234352,91,1NNRWkhwmcXRimFYSBpB1y,6aBVGuOUEuX18rHxyDWbti
045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),235800,87,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
1haJsMtoBhHfvuM7XWuT3W,El Azul,187225,89,7Gi6gjaWy3DxyilpF1a8Is,2szyIt0ulaHnKxxyrlUCDB
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),181621,82,4oUHIQIBe0LHzYfvXNW4QM,6i7mF7whyRJuLJ4ogbH2wh
6CvTEtGagmzQvkUzzyKR9k,HARLEY QUINN,143327,92,0ys2OFYzWYB5hRDLCsBqxt,3zu0hJJew2qXZNlselIQk8
0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),169467,82,40ZNYROS4zLfyyBSs2PGe2,6PbnGueEO6LGodPfvNldYf
1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),212600,87,06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
3HOKxuTDmNVmIlCIpBiD8m,LAGUNAS,231246,88,12GqGscKJx3aE4t07u7eVZ,4jox3ip1I39DFC2B7R5qLH
1TE8AAk9koG0UJco6ZAUfx,Rock and A Hard Place,207540,83,3win9vGIxFfBRag9S63wwf,19DGbjQW4oJmS1TLmr7OH3
7MSWxMumjz6lHj7oRApNbg,White Horse,267893,83,4YLtscXsxbVgi031ovDDdh,5yeOXz3vHyMv8ySLEcCya7
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,215466,92,1Xyo4u8uXC1ZmMpatF05PJ,5O0zUvdnJr0RbWzLFneN2i
5RqSsdzTNPX1uzkmlHCFvK,QLONA,172797,94,790FomKkXshlbRYZFtlgla,0FqAaUEyKCyUNFE1uQPZ7i
72kGuWpRiuA149Bn5lDkIO,We Ride,188482,82,0ChjBYedhZTQnWZWQYg15U,19X9Ts9AYIRrqthSTf3qss
3Nl5OkkmS5DaBZvuYofpAt,the grudge,189386,86,1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
6QT6j7rKt7Vk3IuV2AUO9W,lacy,177212,85,1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,165671,88,0XeEobZplHxzM9QzFQWLiR,3Mm1P5CEEAiuJqBclr2EyU
2Gk6fi0dqt91NKvlzGsmm7,SAY MY GRACE (feat. Travis Scott),173253,85,4DdkRBBYG6Yk9Ka8tdJ9BW,1D1hLipjrdB6pnxurMtC3E
1JgknGBbrfmEHeOZH051SS,ecstacy (slowed),119120,89,6KOszWgIriJLaPOySuBOTI,6KLSjdqyjISLUhW8bx0Bqi
3CCRVu4F91Qp2mnGjmWBrf,Say Don't Go (Taylor's Version) (From The Vault),279833,84,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,154666,91,6HvZYsbFfjnjFrWF950C9d,5V729UqvhwNOcMejx0m55I
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),141367,82,2yLzlEFtIS0Q9UkyBZdQA7,5yLgEnZGrpgxjmARNWP56g
7bPp2NmpmyhLJ7zWazAXMu,TULUM,209415,90,12GqGscKJx3aE4t07u7eVZ,4jox3ip1I39DFC2B7R5qLH
3cDyocF0Ibdfs1SFQk5cLZ,Lollipop,199946,94,1TtXnWcUs0FCkaZDPGYHdf,11UJfH39O0VqLiQGLW0D0e
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),310490,84,3TVXtAsR1Inumwj472S9r4,4DjJtllSDzVDBf7PYtsHaT
3wlIAXSDtlD9iU8ysld06Z,BIPOLAR,265045,87,12GqGscKJx3aE4t07u7eVZ,6obRcLVFuI4x6jan7GNkYJ
