song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
3WMj8moIAXJhHsyLaqIIHI,175.212,audio_features,-12.151,0,0.04,0.0954,0.148,0.369,0.192,0.555,8.35e-06
4iZ4pt7kvcaH6Yo8UoZ4s2,143.008,audio_features,-7.231,1,0.132,0.11,0.392,0.559,0.551,0.141,0.0
0mflMxspEfB0VbI1kyLiAv,117.913,audio_features,-6.894,1,0.0682,0.102,0.817,0.662,0.488,0.782,0.0
1Qrg8KqiBpW07V7PNxwwwL,88.98,audio_features,-5.747,1,0.0391,0.161,0.418,0.644,0.735,0.0521,0.144
3F5CgOj3wFlRv51JsHbxhe,165.921,audio_features,-4.711,1,0.175,0.093,0.366,0.529,0.673,0.000307,2.41e-06
1xK59OXxi2TAAAbmZK0kBL,132.052,audio_features,-10.613,1,0.0299,0.322,0.216,0.571,0.544,0.453,0.00805
0V3wPSX9ygBnCm8psDIegu,97.008,audio_features,-6.571,1,0.0519,0.142,0.533,0.637,0.643,0.13,1.8e-06
4Dvkj6JhhA12EX05fT7y2e,173.93,audio_features,-5.338,0,0.0557,0.311,0.662,0.52,0.731,0.342,0.00101
2dHHgzDwk4BJdRwy9uXhTO,97.95,audio_features,-6.005,0,0.0484,0.0822,0.172,0.715,0.62,0.417,0.0
1SjsVdSXpwm1kTdYEHoPIT,98.721,audio_features,-9.165,0,0.0333,0.133,0.557,0.505,0.27,0.593,0.0
1bDbXMyjaUIooNwFE9wn0N,153.15,audio_features,-9.342,0,0.244,0.355,0.424,0.561,0.52,0.0503,1.86e-06
0vjeOZ3Ft5jvAi9SBFJm1j,116.622,audio_features,-5.3,0,0.259,0.194,0.492,0.526,0.606,0.152,2.36e-06
6dgUya35uo964z7GZXM07g,138.992,audio_features,-4.912,1,0.034,0.224,0.732,0.74,0.697,0.0268,0.0
0OWhKvvsHptt6vnnNUSM9a,122.977,audio_features,-5.694,1,0.0356,0.104,0.233,0.544,0.573,0.0958,0.0
7KokYm8cMIXCsGVmUvKtqf,90.02,audio_features,-7.091,1,0.0666,0.483,0.0969,0.642,0.62,0.0734,0.0
5wG3HvLhF6Y5KTGlK0IW3J,119.497,audio_features,-7.38,0,0.404,0.168,0.447,0.571,0.549,0.18,0.0
59nOXPmaKlBfGMDeOVGrIK,83.389,audio_features,-4.474,1,0.34,0.0686,0.339,0.463,0.642,0.314,0.0
2Hh3ETdQKrmSI3QS0hme7g,88.048,audio_features,-4.392,0,0.0464,0.122,0.156,0.684,0.671,0.189,2.37e-05
2ZL7WZcjuYKi1KUDtp4kCC,129.963,audio_features,-6.386,1,0.0512,0.163,0.203,0.773,0.701,0.01,0.0
5jfhLCSIFUO4ndzNRh4w4G,82.532,audio_features,-10.513,1,0.0755,0.11,0.134,0.508,0.296,0.897,5e-05
6Sq7ltF9Qa7SNFBsV5Cogx,92.005,audio_features,-5.105,0,0.0817,0.0933,0.425,0.911,0.712,0.0901,2.68e-05
4h9wh7iOZ0GGn8QVp4RAOB,139.994,audio_features,-5.927,1,0.0475,0.0546,0.825,0.704,0.797,0.0826,0.000745
0WtM2NBVQNNJLh6scP13H8,106.999,audio_features,-5.206,1,0.0381,0.114,0.802,0.801,0.806,0.382,0.000669
2L9N0zZnd37dwF0clgxMGI,148.005,audio_features,-11.762,1,0.0292,0.215,0.261,0.516,0.322,0.473,0.00194
2GAhgAjOhEmItWLfgisyOn,145.044,audio_features,-7.234,0,0.0559,0.16,0.335,0.698,0.546,0.425,0.00314
6IyoLWzljeR3ldQo4KWHT6,128.07,audio_features,-7.41,0,0.242,0.275,0.798,0.767,0.628,0.21,8.79e-06
3XgGQ1wjo5khvq2UImjyNF,141.967,audio_features,-8.54,1,0.0315,0.11,0.22,0.617,0.378,0.428,9.16e-05
43SoxERu5UlXAgt4Es1VQU,142.034,audio_features,-8.264,1,0.0356,0.159,0.477,0.647,0.477,0.0585,0.0
1qMMYpVatbRITKCfq1gasi,124.992,audio_features,-5.748,1,0.305,0.128,0.284,0.883,0.657,0.0603,0.0
6DHPLbudo5JXNdUlG7zDcC,85.455,audio_features,-7.487,0,0.05,0.0845,0.452,0.683,0.554,0.379,0.00011
5jQI2r1RdgtuT8S3iG8zFC,96.985,audio_features,-10.489,1,0.08,0.157,0.0976,0.733,0.436,0.258,0.000573
1IHWl5LamUGEuP4ozKQSXZ,106.672,audio_features,-5.198,0,0.253,0.126,0.187,0.65,0.715,0.0993,0.000291
0O6u0VJ46W86TxN9wgyqDj,100.964,audio_features,-6.009,1,0.0751,0.121,0.472,0.733,0.67,0.121,0.0
