song_id,song_name,song_duration,song_popularity,artist_id,album_id
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,228013,90,40ZNYROS4zLfyyBSs2PGe2,1CmTOKCeyz1aHH04OwvTPv
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,201800,92,7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
0mflMxspEfB0VbI1kyLiAv,Stick Season,182346,89,2RQXRUsr4IW1f3mKyKsy4B,50ZenUP4O2Q5eCy2NRNvuz
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,153946,92,7tYKF4w9nC0nq9CsPZTHyP,1nrVofqDRs7cpWXJ49qTnP
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),218364,90,3TVXtAsR1Inumwj472S9r4,3cf4iSSKd8ffTncbtKljXw
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,132630,91,5y8tKLUfMvliMe8IKamR32,4B3FsNFguOEJ4TWEsct83B
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,200690,93,06HL4z0CvFAxyc27GXpf02,151w1FgRZfnKZA9FEcg9Z3
4Dvkj6JhhA12EX05fT7y2e,As It Was,167303,95,6KImCVD70vtIoJWnq6nGn3,5r36AJ6VOJtp00oxSkBZ5h
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),221520,92,0iEtIxbK0KxaSlF7G42ZOp,7txGsnDSqVMoRl6RQ9XyZP
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,163031,84,40ZNYROS4zLfyyBSs2PGe2,7IouDrXPdAZwT1NzVV3vef
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,239359,88,3TVXtAsR1Inumwj472S9r4,5MS3MvWHJ3lOZPLiMxzOU6
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],182666,87,0iEtIxbK0KxaSlF7G42ZOp,7txGsnDSqVMoRl6RQ9XyZP
6dgUya35uo964z7GZXM07g,Nonsense,163648,90,74KM79TiuVKeVCqs8QtB0B,5kDmlA2g9Y1YCbNo2Ufxlz
0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,211739,83,40ZNYROS4zLfyyBSs2PGe2,2qPki6xBkJ1Mbra43t7hnA
7KokYm8cMIXCsGVmUvKtqf,Karma,204852,89,06HL4z0CvFAxyc27GXpf02,151w1FgRZfnKZA9FEcg9Z3
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),194786,88,0iEtIxbK0KxaSlF7G42ZOp,7txGsnDSqVMoRl6RQ9XyZP
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),189893,86,1RyvyyTE3xzB2ZywiAwp0i,6tE9Dnp2zInFij4jKssysL
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),199920,89,0iEtIxbK0KxaSlF7G42ZOp,7txGsnDSqVMoRl6RQ9XyZP
2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,214588,84,3TVXtAsR1Inumwj472S9r4,5MS3MvWHJ3lOZPLiMxzOU6
5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn",268856,82,40ZNYROS4zLfyyBSs2PGe2,4popczz4SYRg2NPcgwKHsR
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,178567,90,4q3ewBCX7sLwd24euuV69X,3RQQmkQEvNCY4prGKE6oc5
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,148485,91,5Pwc4xIPtQLFEnJriah9YJ,04PEOM6kIEeq9lRp1asNP2
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),239317,91,46pWGuE3dSwY3bMMXGBvVS,2b2GHWESCWEuHiCZ2Skedp
2L9N0zZnd37dwF0clgxMGI,ceilings,182887,87,1GmsPCcpKgF9OhlNXjOsbS,68L5xVV9wydotfDXEik7eD
2GAhgAjOhEmItWLfgisyOn,Low,181080,84,7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
5MOWBRtP53q5yNOtHaMVTh,Deep Phase Noise 1,143654,86,5qq6C4dNld3AWHbh2WaNAR,2jiaVZwVTy1c1lmu1ifoud
6IyoLWzljeR3ldQo4KWHT6,Out thë way,150241,84,3qiHUAX7zY4Qnjx8TNUzVx,6Xo2PDEoQKzCndIbks2kvu
3XgGQ1wjo5khvq2UImjyNF,ALL MINE,216062,83,3tlXnStJ1fFhdScmQeLpuG,0PHMNbcgHfzSUALlfk7wGg
43SoxERu5UlXAgt4Es1VQU,Porch Light,184949,80,3EVsC9ZK7QMDuK4FPcZaEq,2t0vbfmG9x5kKI8MqaxQKA
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,172933,82,1RyvyyTE3xzB2ZywiAwp0i,6tE9Dnp2zInFij4jKssysL
6DHPLbudo5JXNdUlG7zDcC,Please Don't Go,181498,80,46lEQmDJLJeyltECJYJv1Y,4K2htiCgz7DrhLOWepp3ru
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,202395,86,06HL4z0CvFAxyc27GXpf02,151w1FgRZfnKZA9FEcg9Z3
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,243716,87,4q3ewBCX7sLwd24euuV69X,3RQQmkQEvNCY4prGKE6oc5
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),192840,86,246dkjvS1zLTtiykXe5h60,3HHNR44YbP7XogMVwzbodx
48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,224426,83,718COspgdWOnwOFpJHRZHS,1m9DVgV0kEBiVZ4ElhJEte
3OHfY25tqY28d16oZczHc8,Kill Bill,153946,87,7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,176440,90,5XKFrudbV4IiuE5WuTPRmT,7ARtQpvnPN2ucbmVHngLOs
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,232066,84,57vWImR43h4CaDao012Ofp,3Ks0eeH0GWpY4AU20D5HPD
4xF4ZBGPZKxECeDFrqSAG4,snowfall,124065,88,0dgJbQ0bKPyUXco8hEXN7X,4NRsGHlWBTl4rdLcq8CKcH
5odlY52u43F5BjByhxg7wg,golden hour,209259,86,164Uj4eKjl6zTBKfJLFKKK,69AaAkdktFGnk9POmHENkT
4k3xDpAdBuM17mNNHhOZkK,nuts,85360,83,2kCcBybjl3SAtIcwdWpUe3,4hiArqU343m8BUT0lymyLO
0lEjxUUlKqjqXrVlIHFduD,P power (feat. Drake),193346,82,2hlmm7s2ICUX0LVIhVFlZQ,02uWB8Kekadkl3yGBoOOcx
09riz9pAPJyYYDVynE5xxY,1000 Blunts,175476,80,1VPmR4DJC1PlOtd0IADAO0,3elJRIffdqvypuxoDND2Q3
4KGGeE7RJsgLNZmnxGFlOj,Falling Behind,173640,83,7gW0r5CkdEUMm42w9XpyZO,0Ydm84ftyiWRGOIFkdl30L
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),175238,92,1Cs0zKBU1kc0i8ypK3B9ai,7M842DMhYVALrXsw3ty7B3
2IlT65thKQQw248mhk2PjQ,JACKIE BROWN,169013,83,3tlXnStJ1fFhdScmQeLpuG,0PHMNbcgHfzSUALlfk7wGg
17js0w8GTkTUFGFM6PYvBd,Igualito a Mi Apá,166821,84,0ys2OFYzWYB5hRDLCsBqxt,7idxAlo8GuUKWV7RhOlptp
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),229938,83,6U3ybJ9UHNKEdsH7ktGBZ7,4rJDCELWL0fjdmN9Gn4f4g
3GYlZ7tbxLOxe6ewMNVTkw,TV,281380,87,6qqNVTkY8uBg9cP3Jd7DAH,1YPWxMpQEC8kcOuefgXbhj
4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid",194206,85,06HL4z0CvFAxyc27GXpf02,151w1FgRZfnKZA9FEcg9Z3
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,180853,84,7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
1gwLjpvAbu6IVmVdAfPJ0G,Relaxing Brown Noise 256 Hz Smooth Q,179470,82,5IHSYO8kKxpkIphS2vmEuX,7y17IKdJ8sgnE1l38ov0xb
1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,147874,87,4MvZhE1iuzttcoyepkpfdF,2XurGuugADHAwF8gEYjtMA
4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,123890,83,4O15NlyKLIASxsJ0PrXPfz,2FD6g8bXEn2uQMYbeqqoCg
3qoftcUZaUOncvIYjFSPdE,Bejeweled,194165,84,06HL4z0CvFAxyc27GXpf02,151w1FgRZfnKZA9FEcg9Z3
0hPRWztAIbNkt6GcFcLiqF,Matte Black,238145,79,1VPmR4DJC1PlOtd0IADAO0,3elJRIffdqvypuxoDND2Q3
7ETjhPaIU4UmHOiimJBZz9,Your Heart Or Mine,161200,78,4MoAOfV4ROWofLG3a3hhBN,2QriWWJQt8g8XXoC1ATDPa
7ByxizhA4GgEf7Sxomxhze,All My Love,251510,79,2RQXRUsr4IW1f3mKyKsy4B,50ZenUP4O2Q5eCy2NRNvuz
3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,174782,85,06HL4z0CvFAxyc27GXpf02,151w1FgRZfnKZA9FEcg9Z3
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,214800,83,5GGJosGMs08YEmKTZJe1fL,78rO0EfpVs1RPfpxzF6kUz
2wSTnntOPRi7aQneobFtU4,Shirt,181840,82,7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,206106,79,1mfDfLsMxYcOOZkzBxvSVW,5UgaQfAOaOdfLxFClw8EWa
1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,177954,86,6KImCVD70vtIoJWnq6nGn3,5r36AJ6VOJtp00oxSkBZ5h
2xZ0zfuDTv5LxLhEgD82PG,Awkward,178000,80,7tYKF4w9nC0nq9CsPZTHyP,6FKP2O0oOvZlDkF0gyTjiJ
34tz0eDhGuFErIuW3q4mPX,On BS,261543,80,3TVXtAsR1Inumwj472S9r4,5MS3MvWHJ3lOZPLiMxzOU6
5Eax0qFko2dh7Rl2lYs3bx,Efecto,213061,87,4q3ewBCX7sLwd24euuV69X,3RQQmkQEvNCY4prGKE6oc5
6KaKmX6EIu3x2057HoZwQF,Watermelon Moonshine,208853,78,6tPHARSq45lQ8BSALCfkFC,2Vc7PFvxxVOURgA5lILY82
1H4Y9uW4N0LsxJUz0VnaPJ,Just Pretend,204676,80,3Ri4H12KFyu98LMjSoij5V,3p7m1Pmg6n3BlpL9Py7IUA
4PMqSO5qyjpvzhlLI5GnID,Good Days,278480,81,7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
2HafqoJbgXdtjwCOvNEF14,Si No Estás,184061,99,0jbo7KFNMiIkfBR6ih0yhm,66k6EGkPtYoN44anGIsEPW
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),156943,87,2wY79sveU1sp5g7SokKOiI,0gX9tkL5njRax8ymWcXARi
4OmfWzukSVD140NiAIEjem,Static,156506,80,57vWImR43h4CaDao012Ofp,3Ks0eeH0GWpY4AU20D5HPD
5BmB3OaQyYXCqRyN8iR2Yi,SLUT ME OUT,123672,79,0ErzCpIMyLcjPiwT4elrtZ,48868AJJd7JVl1IVmaBsaQ
