song_id,song_name,song_duration,song_popularity,artist_id,album_id
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,202066,79,5YGY8feqx7naU7z4HrwZM6,64aKkqxc3Ur2LYIKeS5osS
3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,257690,80,3TVXtAsR1Inumwj472S9r4,1LShhEEKRT5MNPcO7jtYHh
1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over,251840,78,1moxjboGR7GNWYIMWsRjgG,2FgknX5e7fJlriQtxvpLhZ
3Pzh926pXggbMe2ZpXyMV7,Ain't No Rest for the Wicked,175493,77,26T3LtbuGT1Fu9m0eRq5X3,7H814Cg8HV0qpoMheYbhNn
4k7x3QKrc3h3U0Viqk0uop,Rosyln,289560,79,4LEiUm1SRbFMgfqnQTwUbQ,2PDlvc7K51qC4Bkali3q0R
5wfllwdjglyQislkskYLBv,Day 'N' Nite (nightmare),221240,75,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3
0SiywuOBRcynK0uKGWdCnn,Bad Romance,294573,85,1HY2Jd0NmPuamShAr6KMms,6rePArBMb5nLWEaY9aQqL4
2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,289133,77,1yxSLGMDHlW21z4YXirZDS,3lng6RAtdksQ2q02Fk5jaB
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,276920,85,3nFkdlSjzX9mRTtwJOzDYB,2CUT0104gySOIvqwtXeFsX
7LR85XLWw2yXqKBSI5brbG,Run This Town,267520,82,3nFkdlSjzX9mRTtwJOzDYB,2CUT0104gySOIvqwtXeFsX
3Kj2EWpIBnvETsYq4cq0IH,Big Black Car,217466,78,5sXaGoRLSpd7VeyZrLkKwt,06UoTVgpPiGnRPGjowrG3g
2UREu1Y8CO4jXkbvqAtP7g,Monster,178013,80,49bzE5vRBRIota4qeHtQM8,0RySAmM6oDPGSE03X3dzi1
6cmm1LMvZdB5zsCwX5BjqE,Down,212506,80,4pADjHPWyrlAF0FA7joK2H,2H66HrVR1UeMlAoSXpxUnk
1Bv3h7Vc4AaYA2BcSM3rVd,All I Wanted,225786,76,74XFHRwlV6OrjEM0A2NCMF,27UqZoE1kV6sIV6uQcI28A
4B4vB3oB8csotplfoQcAd6,Little Lion Man,247002,73,3gd8FJtBJtkRxdfbTu19U2,4828DYqqXoOl1bMPyh5c3S
3DamFFqW32WihKkTVlwTYQ,Fireflies,228346,80,07QEuhtrNmmZ0zEcqE9SF6,3vf65wfk1EEjVhy6BjENsS
6MtKObWYda2qnNIpJI21uD,Pursuit Of Happiness (Nightmare),295293,73,0fA0VVWsXO9YnASrzqfmYu,2S8AWAM0nxyFy66YnUfIs3
5iSEsR6NKjlC9SrIJkyL3k,Pursuit Of Happiness (Nightmare),295293,73,0fA0VVWsXO9YnASrzqfmYu,47y3PbX8oIDCkYAFylCJz0
5UsLjwBaTHBX4ektWIr4XX,Forever,357706,77,3TVXtAsR1Inumwj472S9r4,7MZzYkbHL9Tk3O6WeD4Z0Z
5vlEg2fT4cFWAqU5QptIpQ,Replay,182306,74,5tKXB9uuebKE34yowVaU3C,698AdfGuOthKXXvvHla9bf
3EUl8M6SzxZl03NPkB8mUd,Neon Moon,263760,72,0XKOBt59crntr7HQXXO8Yz,1ZXM9jY3Bsg12KXgwftBrO
3vUn7FE3ZaQgJmkhIrIirF,The Cave,217984,71,3gd8FJtBJtkRxdfbTu19U2,4828DYqqXoOl1bMPyh5c3S
