song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
0uXO2GrNiIb1xHT9LUdxZE,130.011,audio_features,-5.018,0,0.0486,0.131,0.801,0.813,0.627,0.0771,0.000616
0rFpcfF0YfvFUYsl99Bw9d,86.501,audio_features,-6.653,0,0.128,0.37,0.444,0.464,0.754,0.465,1.57e-05
3GpbwCm3YxiWDvy29Uo3vP,124.986,audio_features,-6.852,1,0.0551,0.232,0.705,0.72,0.672,0.009,0.0
0V8FYVlBFuXXTIvRnMbZyS,161.074,audio_features,-6.611,1,0.0336,0.104,0.329,0.327,0.588,0.0834,0.0
1YhFtqwcN138S6ng3MT1nN,108.051,audio_features,-4.66,0,0.0498,0.328,0.519,0.622,0.932,0.105,2.37e-06
5uGXVcOINWmyUzpz0lKq7m,111.615,audio_features,-5.759,1,0.0311,0.0978,0.105,0.53,0.634,0.245,0.000601
6OtCIsQZ64Vs1EbzztvAv4,94.988,audio_features,-7.804,1,0.052,0.132,0.645,0.634,0.69,0.0771,0.0
58FUwmyGUqkt53YPUcm7cJ,155.165,audio_features,-4.78,1,0.16,0.171,0.645,0.588,0.877,0.00952,0.0
4CbKVDZkYKdv69I4bCaKUq,142.018,audio_features,-2.543,1,0.0995,0.336,0.782,0.533,0.967,0.00791,0.0
4VqPOruhp5EdPBeR92t6lQ,128.019,audio_features,-4.046,1,0.0775,0.117,0.411,0.602,0.905,0.000202,0.064
09qzRI951OVkXGCc33gzcT,125.57,audio_features,-4.627,1,0.0366,0.178,0.898,0.673,0.842,0.06,0.000257
1ESipSqVefdknPg5IBKFND,96.98,audio_features,-6.077,0,0.035,0.106,0.639,0.77,0.641,0.0206,0.00023
22sLuJYcvZOSoLLRYev1s5,136.506,audio_features,-3.419,1,0.0329,0.0964,0.978,0.742,0.883,0.333,7.51e-06
5VfEuwErhx6X4eaPbyBfyu,100.363,audio_features,-8.872,0,0.027,0.128,0.152,0.617,0.778,0.459,0.925
6Rb0ptOEjBjPPQUlQtQGbL,125.984,audio_features,-8.385,1,0.175,0.0746,0.789,0.851,0.629,0.00705,0.000372
28Sc21lrWcZD9Ov4rRkPJq,106.966,audio_features,-5.02,1,0.0278,0.221,0.531,0.639,0.678,0.44,1.45e-06
2n0U2OG5d6TuW5mKx7YrC0,150.92,audio_features,-8.881,1,0.0379,0.107,0.449,0.546,0.5,0.802,0.00108
02eD9ymfJOJOhM97HYp5R9,80.993,audio_features,-8.005,1,0.0286,0.116,0.206,0.525,0.3,0.578,8.3e-06
3kMrazSvILsgcwtidZd1Qd,123.016,audio_features,-2.771,0,0.0477,0.068,0.682,0.674,0.882,0.000441,6.47e-05
3rEwGRmPVVudVjqdgv0tRR,127.001,audio_features,-8.158,1,0.0279,0.456,0.441,0.584,0.536,0.112,0.0
4urxRqBRiaH0i20OKBsgxc,115.491,audio_features,-3.906,1,0.0357,0.0924,0.737,0.578,0.897,0.000666,0.0
04uR2cdkgiaLIzebPcs25m,159.685,audio_features,-5.59,1,0.0294,0.058,0.744,0.526,0.723,0.3,0.00698
64yrDBpcdwEdNY9loyEGbX,159.779,audio_features,-4.939,1,0.0355,0.626,0.416,0.268,0.742,0.0518,0.0
6u9RqxALwkjJ1ukB1y8vuP,109.999,audio_features,-4.72,1,0.0319,0.107,0.368,0.574,0.704,0.00455,0.0
3opVsyWVYEAFK9bJAG8Opa,130.049,audio_features,-5.894,1,0.0664,0.13,0.408,0.866,0.857,0.13,0.0017
6HSqyfGnsHYw9MmIpa9zlZ,158.423,audio_features,-1.304,0,0.374,0.256,0.542,0.415,0.926,0.253,0.0
5aooThgj87ID0vgiyvcjPM,170.031,audio_features,-8.455,1,0.377,0.103,0.566,0.662,0.763,0.0389,0.0
217bRMES4HVbPdUe8l8ECN,125.941,audio_features,-10.729,1,0.0533,0.132,0.701,0.812,0.506,0.143,0.0
0oJMv049q8hEkes9w0L1J4,92.035,audio_features,-6.963,1,0.366,0.307,0.413,0.597,0.517,0.179,0.0
4JOP8ELK6AaeySe7sKe996,86.097,audio_features,-7.892,1,0.0619,0.106,0.335,0.596,0.505,0.732,1.97e-05
1V4jC0vJ5525lEF1bFgPX2,128.016,audio_features,-1.912,1,0.0476,0.127,0.207,0.825,0.856,0.00851,1.4e-06
3e21cX0CVwzkQXiHz7WUQZ,144.993,audio_features,-1.629,1,0.317,0.244,0.342,0.663,0.91,0.0719,0.0
57i3M29DWoo7RDk0Tf0LZG,103.303,audio_features,-4.92,1,0.0323,0.178,0.671,0.57,0.798,0.102,0.000128
4lwavw59UjXUPJZtKNdFYp,98.992,audio_features,-6.612,0,0.046,0.36,0.369,0.626,0.799,0.000358,0.00155
4prEPl61C8qZpeo3IkYSMl,106.036,audio_features,-5.406,1,0.0354,0.233,0.539,0.568,0.719,0.0892,1.84e-06
0nkzd3yNniB767zSDDdLZ3,159.932,audio_features,-2.983,0,0.0593,0.491,0.569,0.434,0.939,0.0425,0.0
4dK00wCxlqWEeN8BoM1BHT,169.561,audio_features,-2.571,1,0.186,0.173,0.391,0.516,0.874,0.0864,0.0
2idmlkd8oUaQvYEtINpLBX,131.994,audio_features,-3.908,0,0.0838,0.0708,0.774,0.744,0.614,0.00685,0.334
1RUTIdTnFs8lHSc0Zr4UJB,120.017,audio_features,-6.119,0,0.0849,0.362,0.586,0.66,0.881,0.0722,3.4e-05
2WgyOP8Z1D6GQYumCwH4Dk,119.969,audio_features,-4.503,0,0.0441,0.479,0.646,0.694,0.801,0.00124,0.0
7fmJGzyvOcbh6UANsH8Cp6,97.539,audio_features,-6.691,1,0.0359,0.53,0.311,0.64,0.789,0.0338,0.00388
7kMfu3KUydmrFVGEAhjtyl,119.964,audio_features,-3.716,1,0.0815,0.549,0.628,0.594,0.874,0.0116,0.0
13plQdOoWSSXPRUSZc5FuM,127.056,audio_features,-6.009,1,0.145,0.107,0.833,0.817,0.733,0.0152,4.31e-05
47No93LxERvV6MtOAmQzHS,170.944,audio_features,-2.645,0,0.095,0.0387,0.51,0.522,0.964,0.00109,0.000389
7qje9qxLncMESiPeI27SAn,79.934,audio_features,-4.549,1,0.0911,0.712,0.725,0.555,0.713,0.0845,0.0
3UI9I3e1g1y5T3SMfdgfGO,120.025,audio_features,-4.803,1,0.0367,0.129,0.875,0.836,0.637,0.535,0.0
1OrD9RkuBnoNrrURFap9wi,96.073,audio_features,-4.661,1,0.0277,0.0972,0.847,0.753,0.534,0.0339,7.32e-06
55KYlnsC6nYnr3IykbmJwE,128.036,audio_features,-3.701,1,0.0397,0.23,0.654,0.548,0.911,0.000345,0.0
4ZC8hXXqu2hPcDLw9QTdtQ,141.056,audio_features,-3.764,1,0.0336,0.42,0.607,0.541,0.812,0.203,0.0
1oHClQEgDmmbcEx12Kc5nZ,113.029,audio_features,-4.922,1,0.0652,0.234,0.767,0.753,0.931,0.00994,0.00696
4fIWvT19w9PR0VVBuPYpWA,122.58,audio_features,-4.808,1,0.0335,0.109,0.796,0.615,0.733,0.152,0.0
4V0x90QcMh4ZxwHzEWOdtK,172.022,audio_features,-4.681,1,0.0582,0.0699,0.499,0.34,0.737,0.000105,0.762
0CSTvWUps1YmpQoXXay9ol,140.003,audio_features,-5.56,0,0.0366,0.115,0.0827,0.524,0.803,0.145,0.000191
2dwhns14pjuxxcM5a0eOow,159.93,audio_features,-4.246,0,0.104,0.904,0.621,0.241,0.97,7.35e-05,0.0
1HR2CTi0ytRJIcik1QKdOa,132.077,audio_features,-4.472,0,0.0706,0.0726,0.467,0.727,0.696,0.251,0.0
2DHc2e5bBn4UzY0ENVFrUl,115.68,audio_features,-6.693,0,0.113,0.256,0.272,0.531,0.574,0.114,0.0308
2fQ6sBFWaLv2Gxos4igHLy,93.01,audio_features,-3.614,0,0.113,0.833,0.81,0.724,0.87,0.00453,0.0
7nDIflSHQXzaa8zupxwv3U,95.223,audio_features,-3.206,0,0.042,0.18,0.733,0.653,0.827,0.649,0.0
75QTZG8XFYKb0HQIwgCzNE,127.514,audio_features,-4.355,1,0.0451,0.101,0.647,0.641,0.762,0.0904,1.26e-06
7ywzEdEuVG1lsjsRCGJfLy,137.941,audio_features,-4.874,1,0.0282,0.105,0.194,0.459,0.545,0.142,0.0
7A5CReD6yWe0rrkJym34QI,137.985,audio_features,-5.33,1,0.0333,0.11,0.299,0.581,0.691,0.257,0.0
2Vy16OMt19FH30uQNTFdLk,96.089,audio_features,-4.922,0,0.385,0.686,0.853,0.499,0.728,0.235,0.0
4IX6QvjOI62tyHigVsTUlv,149.996,audio_features,-4.7,1,0.0869,0.105,0.715,0.507,0.933,7e-05,0.0
4mnOVRRXsaqg9Nb041xR8u,203.989,audio_features,-9.834,1,0.0354,0.0732,0.741,0.592,0.473,0.681,0.0
3QmesrvdbPjwf7i40nht1D,144.171,audio_features,-11.342,1,0.0349,0.106,0.547,0.643,0.344,0.909,0.0112
2gscB6kDOmrv1P6qs2KXE3,93.345,audio_features,-4.119,1,0.104,0.417,0.327,0.382,0.996,0.00208,0.0
5kOerWLruDrwe8zA9HPglH,124.367,audio_features,-8.335,1,0.0493,0.111,0.753,0.666,0.738,0.021,0.0
5nJaS3PEpyPfaWiLxIGtRX,113.999,audio_features,-4.205,0,0.0505,0.753,0.729,0.785,0.881,0.212,0.0
0xahPNJVFHGMEFxu9kergk,139.833,audio_features,-10.828,1,0.0434,0.129,0.504,0.591,0.333,0.901,0.000878
2MioxSroS0g1mi24LLfcnq,129.039,audio_features,-10.183,0,0.0368,0.0623,0.965,0.811,0.562,0.137,0.0
4i3GraNMzBKze1WsVl38DS,147.037,audio_features,-6.205,0,0.0849,0.119,0.237,0.49,0.507,0.209,0.00104
1z3ugFmUKoCzGsI6jdY4Ci,111.037,audio_features,-5.285,1,0.0376,0.181,0.257,0.624,0.842,0.264,2.11e-05
6A5NlmBCsCGbJ27jHQgKV5,125.845,audio_features,-4.896,1,0.0705,0.101,0.818,0.854,0.674,0.0204,0.0
0WKd91LoIHCFIhDmgewjhy,83.962,audio_features,-5.274,0,0.0802,0.361,0.935,0.73,0.706,0.518,0.0
6wVWJl64yoTzU27EI8ep20,106.719,audio_features,-4.423,0,0.0461,0.239,0.67,0.498,0.885,0.0148,0.00041
6OqdF0vHI9xkqswI7EK0cD,119.969,audio_features,-2.529,1,0.0582,0.119,0.576,0.597,0.82,0.0328,0.0
6eDApnV9Jdb1nYahOlbbUh,145.999,audio_features,-2.528,0,0.0372,0.082,0.762,0.691,0.853,0.0631,7.13e-05
3RBGG1be9aBaSvjnw6ABkh,78.005,audio_features,-4.865,1,0.0422,0.362,0.627,0.672,0.62,0.123,0.0
4Dm32oO01YpIubCHaAtKkN,144.982,audio_features,-4.006,1,0.0509,0.144,0.424,0.526,0.882,0.0014,0.0
03MWa1FMygR3RrQoQytsjS,134.751,audio_features,-5.86,0,0.0338,0.366,0.597,0.706,0.691,0.546,1.3e-06
0CD1Hybzpwc9Av6iRI2xjr,106.991,audio_features,-3.32,0,0.0549,0.275,0.328,0.533,0.961,0.000602,0.000177
2ACs0dJwkSsvNZvEbvFurK,169.981,audio_features,-7.386,1,0.0428,0.0575,0.431,0.378,0.665,0.00461,0.000118
3DjRp5TOyy29YsfKbCWK3f,137.884,audio_features,-5.352,0,0.0298,0.169,0.229,0.467,0.688,0.00149,3.92e-06
2V5ZTy99M1T7KxgxLS8Lyi,115.158,audio_features,-5.002,1,0.0295,0.0752,0.528,0.625,0.686,0.233,0.000115
08XYO58FzMzn3JgEFrs7Gd,122.046,audio_features,-7.876,1,0.0552,0.0826,0.794,0.796,0.754,0.00474,0.0
7xVwhsuZTUWhIyFeDH6rYr,82.478,audio_features,-4.745,0,0.0632,0.307,0.616,0.65,0.753,0.324,0.0
0bBvuLFzIjrHm9PPyvohIA,149.832,audio_features,-3.18,0,0.031,0.0932,0.568,0.593,0.557,0.321,0.000845
2DPYlWl50ydYsnnuryL5aX,129.001,audio_features,-4.065,0,0.0793,0.233,0.769,0.837,0.515,0.103,0.0
2jTkLdldm7xtHUfHKhzR7S,86.22,audio_features,-10.342,1,0.0364,0.0896,0.224,0.267,0.472,0.0607,0.0299
61YzdCCBPM5Pc7lIiD5i8C,179.985,audio_features,-4.402,0,0.182,0.0251,0.896,0.623,0.901,0.0785,0.0
07HPV6hzecJmMJwsIX8YVU,125.988,audio_features,-3.975,1,0.032,0.433,0.643,0.602,0.894,0.00154,0.0
1a9YW7fATU351ok4zWjU7a,164.975,audio_features,-2.206,1,0.0496,0.209,0.5,0.436,0.942,9.56e-05,0.000438
4WiIscpBgQFm5qIyjoH7M4,132.009,audio_features,-4.46,0,0.0296,0.298,0.791,0.562,0.903,0.000187,0.0939
57uX2vR9j9DNiANDYfXw1i,160.139,audio_features,-5.767,1,0.0317,0.176,0.262,0.23,0.492,0.568,8.18e-06
3cSuhzV7wKX5diQ8hos78P,156.141,audio_features,-8.09,0,0.279,0.501,0.697,0.488,0.691,0.0219,0.0
0vBpyfpW2lARGh3AZFtWRi,132.051,audio_features,-3.232,0,0.081,0.237,0.866,0.671,0.805,0.0134,0.0547
