song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
0W4NhJhcqKCqEP2GIpDCDq,116.714,audio_features,-4.285,1,0.0283,0.1,0.318,0.688,0.519,0.064,0.0
1PS1QMdUqOal0ai3Gt7sDQ,93.034,audio_features,-5.572,0,0.348,0.0554,0.623,0.629,0.696,0.0195,0.0
0d28khcov6AiegSCpG5TuT,138.559,audio_features,-6.679,1,0.177,0.613,0.772,0.818,0.705,0.00836,0.00233
0ZUo4YjG4saFnEJhdWp9Bt,147.905,audio_features,-3.318,0,0.0405,0.119,0.29,0.519,0.749,0.271,0.0
2TfSHkHiFO4gRztVIkggkE,162.011,audio_features,-4.784,1,0.0843,0.122,0.574,0.494,0.842,0.00579,0.0
4bPQs0PHn4xbipzdPfn6du,170.094,audio_features,-4.106,0,0.14,0.114,0.609,0.569,0.83,0.0807,0.0
5Z01UMMf7V1o0MzF86s6WJ,171.374,audio_features,-4.565,1,0.257,0.359,0.0612,0.692,0.744,0.00868,0.000423
3ZFTkvIE7kyPt6Nu3PEa7V,100.024,audio_features,-5.892,0,0.0707,0.405,0.758,0.778,0.824,0.284,0.0
0lP4HYLmvowOKdsQ7CVkuq,182.99,audio_features,-3.881,0,0.0791,0.582,0.289,0.179,0.912,0.0014,0.000294
2wGSgTmgSF3xjRrHkTc25R,99.998,audio_features,-4.781,1,0.207,0.123,0.435,0.802,0.785,0.14,0.0
0a7BloCiNzLDD9qSQHh5m7,114.452,audio_features,-3.198,0,0.154,0.0854,0.449,0.622,0.961,0.00523,0.0
3o7TMr6RmIusYH7Kkg7ujR,75.052,audio_features,-4.172,1,0.0508,0.0564,0.545,0.687,0.677,0.000643,0.000137
0k2GOhqsrxDTAbFFSdNJjT,125.04,audio_features,-4.675,0,0.0685,0.0712,0.822,0.951,0.6,0.106,0.0
7GQjJEwqlp6m5HNWVQd6OR,122.512,audio_features,-2.183,1,0.0319,0.135,0.464,0.716,0.72,0.307,0.0
4RCWB3V8V0dignt99LZ8vH,103.971,audio_features,-10.572,1,0.0293,0.114,0.298,0.656,0.291,0.872,0.0
5fVZC9GiM4e8vu99W0Xf6J,122.035,audio_features,-4.08,1,0.0379,0.101,0.361,0.64,0.743,0.269,0.0
5lDriBxJd22IhOH9zTcFrV,143.85,audio_features,-4.251,1,0.044,0.573,0.458,0.465,0.954,0.000346,5.38e-06
3LmvfNUQtglbTrydsdIqFU,139.986,audio_features,-7.89,1,0.0601,0.09,0.762,0.837,0.462,0.0339,0.0
0RjG5JmdOWXAR68dGlKBA5,120.792,audio_features,-12.28,1,0.149,0.119,0.177,0.547,0.287,0.514,0.774
4TsmezEQVSZNNPv5RJ65Ov,99.019,audio_features,-8.415,1,0.159,0.101,0.498,0.779,0.64,0.000155,0.00077
1VNWaY3uNfoeWqb5U8x2QX,113.108,audio_features,-3.277,0,0.0336,0.133,0.215,0.47,0.796,0.362,1.1e-06
5D2mYZuzcgjpchVY1pmTPh,125.173,audio_features,-7.961,1,0.466,0.38,0.755,0.614,0.574,0.0253,3.2e-05
2Lhdl74nwwVGOE2Gv35QuK,78.953,audio_features,-6.938,0,0.12,0.255,0.619,0.72,0.744,0.237,0.0
4VywXu6umkIQ2OS0m1I79y,110.059,audio_features,-9.529,1,0.0536,0.11,0.659,0.868,0.347,0.308,2e-05
40LQiUUUKXVGyNs09lHVjW,129.084,audio_features,-5.38,1,0.0343,0.203,0.251,0.476,0.736,0.0217,1.08e-06
451GvHwY99NKV4zdKPRWmv,114.303,audio_features,-8.053,1,0.0996,0.0933,0.615,0.816,0.375,0.607,8.66e-06
6G4U9avyBNEfP0fAIduev3,175.924,audio_features,-7.905,0,0.262,0.237,0.717,0.732,0.708,0.534,0.0
5ynxx6zC4dgzsMHLYQ04Dc,127.804,audio_features,-4.664,1,0.0924,0.0614,0.391,0.55,0.952,0.000193,0.000666
2dxjKgT0li4qBI3QwuN9Ih,98.56,audio_features,-4.912,1,0.342,0.309,0.554,0.552,0.846,0.0114,0.0
0DLOyyQvwPTSDKuhpzMMwA,100.0,audio_features,-11.596,0,0.0999,0.103,0.195,0.728,0.327,0.0948,0.0
7LVHVU3tWfcxj5aiPFEW4Q,138.178,audio_features,-8.74,1,0.0338,0.113,0.124,0.209,0.417,0.164,0.00196
0EYOdF5FCkgOJJla8DI2Md,101.414,audio_features,-2.688,0,0.14,0.219,0.711,0.538,0.981,0.00662,0.0
1yKu2MhpwzDXXH2tzG6xoa,87.904,audio_features,-3.761,1,0.0726,0.328,0.741,0.693,0.823,0.0932,0.0
2l57cfmCnOkwNX1tky02n1,109.864,audio_features,-3.858,1,0.0454,0.291,0.646,0.518,0.916,0.000148,0.0
7DFnq8FYhHMCylykf6ZCxA,86.768,audio_features,-5.847,1,0.272,0.209,0.57,0.536,0.612,0.119,0.0
6RJdYpFQwLyNfDc5FbjkgV,173.847,audio_features,-2.825,1,0.181,0.225,0.262,0.402,0.969,9.14e-05,0.0325
6btyEL6NwUa97Nex9cZFvo,153.645,audio_features,-3.15,0,0.181,0.751,0.744,0.649,0.931,0.0093,0.0
7xYnUQigPoIDAMPVK79NEq,100.969,audio_features,-6.721,0,0.129,0.393,0.212,0.846,0.482,0.0246,0.0
7G6l2FtQyRhQgYgut2I6i8,119.075,audio_features,-4.461,1,0.0393,0.109,0.646,0.68,0.87,0.266,0.0
3kZC0ZmFWrEHdUCmUqlvgZ,80.401,audio_features,-12.233,1,0.0421,0.118,0.489,0.517,0.206,0.924,0.0
5FZxsHWIvUsmSK1IAvm2pp,130.198,audio_features,-5.119,0,0.0696,0.188,0.369,0.366,0.94,0.000769,9.42e-05
4nva9EpKntUTs6CRSGBCn9,96.946,audio_features,-6.672,1,0.41,0.315,0.527,0.489,0.692,0.0322,0.00608
0815caqt2Lytro5EIzMufT,139.902,audio_features,-7.734,1,0.0267,0.168,0.354,0.459,0.427,0.114,0.0
0HBrtXJohbIW4IhPZ50GmH,175.424,audio_features,-5.261,0,0.216,0.0999,0.515,0.538,0.607,0.248,5.54e-06
3I09LQbHS3NSU46Ly3tPpR,115.144,audio_features,-6.51,1,0.037,0.123,0.477,0.535,0.548,0.533,1.48e-06
3duP6mBVDsHM8ioN7o7dAK,88.016,audio_features,-5.391,1,0.0332,0.48,0.695,0.41,0.78,0.211,0.0
0INUE1K7cEiE8VH63Rv5RJ,100.065,audio_features,-2.661,0,0.097,0.275,0.383,0.546,0.97,0.000823,2.08e-05
1gZ7i4qxXkHZb1r6eioaAP,119.988,audio_features,-3.493,0,0.101,0.0959,0.569,0.877,0.637,0.00516,2.5e-06
6IC6VhpV7D8T1t037Atqpu,93.968,audio_features,-7.045,1,0.027,0.0857,0.681,0.664,0.706,0.129,1.06e-06
3rjM7GhxdVq1YySsHBs21i,76.998,audio_features,-3.089,1,0.0625,0.207,0.818,0.572,0.961,0.000734,0.021
4Hff1IjRbLGeLgFgxvHflk,120.264,audio_features,-5.852,0,0.0372,0.298,0.966,0.76,0.891,0.0229,0.0869
1N62wozuHCvczCkY4QidpP,116.03,audio_features,-4.156,1,0.0448,0.0653,0.709,0.592,0.729,0.022,0.0
4PmMVdIFpJTB9WQbmILf4p,98.012,audio_features,-7.401,0,0.251,0.0332,0.637,0.862,0.648,0.0455,0.0
6ndmKwWqMozN2tcZqzCX4K,84.858,audio_features,-4.162,1,0.0911,0.0795,0.88,0.688,0.835,0.0583,2.87e-06
6n9yCXvLhnYMgJIiIcMu7D,144.072,audio_features,-3.004,1,0.0386,0.343,0.693,0.616,0.91,0.0459,0.0
0fGh0trRN1xz3s41r7V5ce,107.005,audio_features,-5.785,0,0.117,0.157,0.534,0.963,0.643,0.0507,4.94e-05
5MYFw4T2gy52pOGBN4EYHS,133.299,audio_features,-5.758,1,0.0331,0.355,0.647,0.789,0.881,0.109,0.0
0Ss50OU9tCozI7JIywkv14,84.012,audio_features,-7.718,1,0.0451,0.159,0.108,0.682,0.483,0.00103,0.0
1SaEt8dwTuLDzenUu5BqI6,125.015,audio_features,-9.859,1,0.0378,0.104,0.715,0.732,0.64,0.586,1.81e-05
69bHJ9qs5FrUJbKP8xU8uZ,97.018,audio_features,-4.763,1,0.231,0.279,0.71,0.925,0.659,0.206,7.88e-05
2ajhenDRiiAnCHHjsIOHhJ,77.499,audio_features,-7.994,0,0.428,0.0932,0.622,0.891,0.439,0.0351,0.0
5l6hpyTGBK0LAAxgPnqTQL,78.039,audio_features,-3.015,0,0.0319,0.13,0.283,0.447,0.592,0.0575,4.47e-06
2QurCbkPO14pjrikPNja0h,144.992,audio_features,-10.233,1,0.0845,0.171,0.467,0.739,0.368,0.00542,0.0
3sHH7lklbfpcraDDvYnjo7,125.04,audio_features,-4.129,1,0.0396,0.423,0.505,0.541,0.968,0.000248,8.28e-06
19JdbdEwQI7bCxefMokZO8,123.95,audio_features,-5.919,0,0.225,0.109,0.586,0.801,0.682,0.111,1.56e-05
05NpeTQWnzXS1d8ZqL4YFZ,110.038,audio_features,-3.291,0,0.0636,0.0806,0.417,0.581,0.983,0.00043,0.00654
3pO37BXsjMC2wApALxGbuB,145.541,audio_features,-5.083,0,0.0731,0.0664,0.313,0.409,0.783,0.000422,0.000354
1mnqraQ8oV8MX92rdOFLWW,129.873,audio_features,-3.078,0,0.333,0.0413,0.867,0.612,0.961,0.107,4.17e-05
6TefPQD0oc88BNALpu4U87,167.792,audio_features,-3.424,1,0.027,0.0504,0.436,0.489,0.647,0.205,0.0
20efeySIfZoiSaISGLBbNs,118.405,audio_features,-5.64,1,0.0462,0.714,0.847,0.777,0.818,0.0906,2.98e-05
5eB7w8UZJKjL5XmnC6Pctg,125.966,audio_features,-4.644,1,0.0992,0.154,0.476,0.66,0.8,0.106,0.0
1UL8GkVAs6UcWF6BZ3DYZt,75.179,audio_features,-5.534,1,0.0275,0.231,0.535,0.572,0.728,0.203,0.00263
5eWOsyHHic4vJP3LjTVhqv,105.019,audio_features,-7.229,1,0.0265,0.104,0.548,0.765,0.535,0.22,2.55e-05
1QxcWlk8PivolUaWcpAoNq,152.734,audio_features,-4.014,0,0.0418,0.0925,0.101,0.392,0.802,0.076,0.00908
3urJUvRhgMrwydaTQFVEg9,152.996,audio_features,-6.645,0,0.0341,0.487,0.539,0.583,0.729,0.000522,1.47e-05
3jEqrIfwKO0M8ALu3TGilF,82.017,audio_features,-8.365,1,0.0876,0.0646,0.504,0.714,0.6,0.0465,0.0
1kQqiC1rS1FiuVpeBKN0QN,96.002,audio_features,-5.473,1,0.142,0.0776,0.722,0.872,0.786,0.0348,0.0
3BxWKCI06eQ5Od8TY2JBeA,210.857,audio_features,-4.38,1,0.267,0.289,0.408,0.57,0.821,0.178,0.0
0muI8DpTEpLqqibPm3sKYf,129.921,audio_features,-4.407,0,0.0341,0.0877,0.9,0.792,0.605,0.786,0.0
4Xtlw8oXkIOvzV7crUBKeZ,176.061,audio_features,-5.155,1,0.0859,0.0631,0.533,0.696,0.858,0.0727,3.19e-06
4x2rgtSFOI4hRvEvDj02KP,95.924,audio_features,-7.519,1,0.128,0.0454,0.74,0.745,0.694,0.0962,0.0
5p9XWUdvbUzmPCukOmwoU3,100.38,audio_features,-5.713,1,0.0449,0.112,0.664,0.587,0.767,0.225,0.0
6Z0ybnsUBhbZ9ZjPW64eoF,128.016,audio_features,-7.089,0,0.0309,0.431,0.662,0.811,0.614,0.0215,0.00491
0ADZ5dmXhlfzjMw6lefoPl,132.918,audio_features,-5.153,1,0.0309,0.107,0.293,0.518,0.797,0.000681,0.0
59rtiYOPgMEDf3yPEfU2la,143.184,audio_features,-7.131,0,0.307,0.113,0.79,0.86,0.861,0.0361,4.07e-05
4kAtRwNRLMKuoCbxMSxUGI,94.006,audio_features,-5.4,1,0.256,0.494,0.515,0.686,0.722,0.108,0.0
4Gd9PUEuOTOJtbgd4YxLXM,164.007,audio_features,-4.088,1,0.0276,0.414,0.522,0.441,0.815,0.000731,0.0
7rSERmjAT38lC5QhJ8hnQc,129.188,audio_features,-3.133,1,0.079,0.226,0.6,0.452,0.928,0.000706,0.000637
05tlUh0E6IFks9sCQguQKN,144.073,audio_features,-3.352,1,0.0385,0.314,0.679,0.621,0.913,0.0477,0.0
4v7DCN09hgXkKazefkznDQ,90.087,audio_features,-7.881,0,0.0333,0.257,0.623,0.634,0.526,0.339,0.0
1gewemPOUilb21s7CfMS55,151.834,audio_features,-6.006,1,0.0536,0.343,0.706,0.667,0.673,0.117,0.0
6oO7WMjD6kEvCITLbVj0mu,154.016,audio_features,-4.096,1,0.0489,0.115,0.0397,0.274,0.92,0.0303,0.000412
7rxHR6dby35y5pjAYQP4ZW,112.097,audio_features,-4.364,1,0.0486,0.121,0.838,0.789,0.705,0.262,2.92e-06
5ugzDiilhy6ILKmKfhEzd7,127.992,audio_features,-4.496,1,0.0783,0.104,0.486,0.587,0.99,0.0172,0.000668
0mUyMawtxj1CJ76kn9gIZK,140.046,audio_features,-4.013,1,0.0309,0.151,0.52,0.599,0.785,0.448,0.00336
