song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
3xKsf9qdS1CyvXSMEid6g8,159.94,audio_features,-7.362,1,0.107,0.417,0.549,0.545,0.545,0.667,5.48e-05
4KW1lqgSr8TKrvBII0Brf8,113.088,audio_features,-4.113,1,0.0549,0.538,0.438,0.724,0.573,0.118,0.0
3IznIgmXtrUaoPWpQTy5jB,104.965,audio_features,-6.855,1,0.129,0.349,0.563,0.67,0.905,0.669,0.000227
2LBqCSwhJGcFQeTHMVGwy3,133.629,audio_features,-7.163,0,0.0615,0.134,0.508,0.586,0.525,0.111,0.0
7MXVkk9YMctZqd1Srtv4MB,186.003,audio_features,-7.015,1,0.276,0.137,0.486,0.679,0.587,0.141,6.35e-06
6QeYSvYqYUsfBzsApbjDHO,113.551,audio_features,-5.669,1,0.0337,0.17,0.594,0.625,0.659,0.12,0.0
1zi7xx7UVEFkmKfv06H8x0,103.967,audio_features,-5.609,1,0.0536,0.329,0.37,0.792,0.625,0.00776,0.0018
5UGAXwbA17bUC0K9uquGY2,105.945,audio_features,-6.869,1,0.0804,0.0905,0.319,0.715,0.633,0.553,4.45e-06
5gDWsRxpJ2lZAffh5p7K0w,89.965,audio_features,-12.638,0,0.0772,0.104,0.426,0.715,0.47,0.353,0.0923
4riDfclV7kPDT9D58FpmHd,104.01,audio_features,-6.417,1,0.03,0.0995,0.634,0.784,0.554,0.00548,0.254
0KKkJNfGyhkQ5aFogxQAPU,134.066,audio_features,-4.961,1,0.0406,0.0944,0.86,0.853,0.56,0.013,0.0
0WtDGnWL2KrMCk0mI1Gpwz,160.111,audio_features,-10.614,1,0.0983,0.118,0.598,0.745,0.353,0.174,0.00662
3d8y0t70g7hw2FOWl9Z4Fm,76.023,audio_features,-6.519,1,0.0277,0.0857,0.566,0.664,0.573,0.613,0.000363
7EiZI6JVHllARrX9PUvAdX,143.961,audio_features,-7.789,1,0.0726,0.146,0.102,0.722,0.331,0.337,0.282
6gBFPUFcJLzWGx4lenP6h2,130.049,audio_features,-3.37,1,0.0484,0.149,0.43,0.841,0.728,0.0847,0.0
5uQOauh47VFt3B2kV9kRXw,77.998,audio_features,-8.3,1,0.0515,0.099,0.847,0.812,0.621,0.244,0.0
5NijSs5dAwaIybq1GaRTIe,117.489,audio_features,-10.102,0,0.065,0.0859,0.382,0.689,0.394,0.711,0.000905
4AFsRbaLKRWo3dDtjDFA2V,118.073,audio_features,-12.111,1,0.0352,0.0664,0.242,0.545,0.442,0.0104,0.0271
2ZWlPOoWh0626oTaHrnl2a,116.408,audio_features,-9.584,0,0.037,0.229,0.466,0.575,0.386,0.785,0.000289
4pAl7FkDMNBsjykPXo91B3,110.898,audio_features,-8.091,0,0.244,0.0825,0.296,0.671,0.314,0.11,0.0
2FTeQQ5Rg9tBpgpTF5mnhE,127.978,audio_features,-6.604,1,0.21,0.0643,0.961,0.946,0.646,0.219,0.0
